output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,style_distance,ssim,psnr,perceptual_distance,perceptual_backend,nearest_reference
stress_runs\20260120_084954\images\2026\01\20_seed40870.png,01/20/2026,2026-01-20,40870,B,handwriting_gan,pytorch_handwriting_gan,21.982133865356445,0.5004031810245932,6.807064999945631,0.6976786255836487,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\20_seed40871.png,01/20/2026,2026-01-20,40871,B,handwriting_gan,pytorch_handwriting_gan,20.9761905670166,0.5498796320008367,7.436240132937611,0.6784352660179138,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\20_seed40872.png,01/20/2026,2026-01-20,40872,B,handwriting_gan,pytorch_handwriting_gan,21.323814392089844,0.4773437516285327,6.522254330120414,0.7204635739326477,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\21_seed40871.png,01/21/2026,2026-01-21,40871,B,handwriting_gan,pytorch_handwriting_gan,21.250564575195312,0.530824262768954,7.209336074141572,0.6981868743896484,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\21_seed40872.png,01/21/2026,2026-01-21,40872,B,handwriting_gan,pytorch_handwriting_gan,21.323814392089844,0.4773437516285327,6.522254330120414,0.7204635739326477,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\21_seed40873.png,01/21/2026,2026-01-21,40873,B,handwriting_gan,pytorch_handwriting_gan,21.659469604492188,0.49212091517601886,6.791644251174831,0.6858493089675903,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\22_seed40872.png,01/22/2026,2026-01-22,40872,B,handwriting_gan,pytorch_handwriting_gan,21.323814392089844,0.4773437516285327,6.522254330120414,0.7204635739326477,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\22_seed40873.png,01/22/2026,2026-01-22,40873,B,handwriting_gan,pytorch_handwriting_gan,21.659469604492188,0.49212091517601886,6.791644251174831,0.6858493089675903,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\22_seed40874.png,01/22/2026,2026-01-22,40874,B,handwriting_gan,pytorch_handwriting_gan,22.024324417114258,0.4876016236211386,6.760260701558324,0.6914840340614319,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\23_seed40873.png,01/23/2026,2026-01-23,40873,B,handwriting_gan,pytorch_handwriting_gan,21.659469604492188,0.49212091517601886,6.791644251174831,0.6858493089675903,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\23_seed40874.png,01/23/2026,2026-01-23,40874,B,handwriting_gan,pytorch_handwriting_gan,22.024324417114258,0.4876016236211386,6.760260701558324,0.6914840340614319,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\23_seed40875.png,01/23/2026,2026-01-23,40875,B,handwriting_gan,pytorch_handwriting_gan,21.928251266479492,0.4876288748801471,6.809424134766047,0.6918601989746094,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\24_seed40874.png,01/24/2026,2026-01-24,40874,B,handwriting_gan,pytorch_handwriting_gan,22.024324417114258,0.4876016236211386,6.760260701558324,0.6914840340614319,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\24_seed40875.png,01/24/2026,2026-01-24,40875,B,handwriting_gan,pytorch_handwriting_gan,21.928251266479492,0.4876288748801471,6.809424134766047,0.6918601989746094,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\24_seed40876.png,01/24/2026,2026-01-24,40876,B,handwriting_gan,pytorch_handwriting_gan,22.15756607055664,0.48973776652577006,6.646193847181372,0.7022511959075928,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\25_seed40875.png,01/25/2026,2026-01-25,40875,B,handwriting_gan,pytorch_handwriting_gan,21.928251266479492,0.4876288748801471,6.809424134766047,0.6918601989746094,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\25_seed40876.png,01/25/2026,2026-01-25,40876,B,handwriting_gan,pytorch_handwriting_gan,22.15756607055664,0.48973776652577006,6.646193847181372,0.7022511959075928,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\25_seed40877.png,01/25/2026,2026-01-25,40877,B,handwriting_gan,pytorch_handwriting_gan,21.54621124267578,0.5011766660001578,6.838838708521054,0.7011814117431641,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\26_seed40876.png,01/26/2026,2026-01-26,40876,B,handwriting_gan,pytorch_handwriting_gan,22.15756607055664,0.48973776652577006,6.646193847181372,0.7022511959075928,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\26_seed40877.png,01/26/2026,2026-01-26,40877,B,handwriting_gan,pytorch_handwriting_gan,21.505884170532227,0.5048459399360737,6.89700949763335,0.6998645663261414,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\26_seed40878.png,01/26/2026,2026-01-26,40878,B,handwriting_gan,pytorch_handwriting_gan,21.680992126464844,0.4816762721541893,6.645581200302299,0.7289047241210938,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\27_seed40877.png,01/27/2026,2026-01-27,40877,B,handwriting_gan,pytorch_handwriting_gan,21.505884170532227,0.5048459399360737,6.89700949763335,0.6998645663261414,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\27_seed40878.png,01/27/2026,2026-01-27,40878,B,handwriting_gan,pytorch_handwriting_gan,21.680992126464844,0.4816762721541893,6.645581200302299,0.7289047241210938,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\27_seed40879.png,01/27/2026,2026-01-27,40879,B,handwriting_gan,pytorch_handwriting_gan,21.798019409179688,0.5085986319739102,6.982602255013088,0.6983046531677246,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\28_seed40878.png,01/28/2026,2026-01-28,40878,B,handwriting_gan,pytorch_handwriting_gan,21.680992126464844,0.4816762721541893,6.645581200302299,0.7289047241210938,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\28_seed40879.png,01/28/2026,2026-01-28,40879,B,handwriting_gan,pytorch_handwriting_gan,21.525787353515625,0.5187287012989873,7.137832472588821,0.6931939125061035,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\28_seed40880.png,01/28/2026,2026-01-28,40880,B,handwriting_gan,pytorch_handwriting_gan,21.843111038208008,0.46858501925455054,6.485965609463902,0.7352187037467957,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\29_seed40879.png,01/29/2026,2026-01-29,40879,B,handwriting_gan,pytorch_handwriting_gan,21.798019409179688,0.5085986319739102,6.982602255013088,0.6983046531677246,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\29_seed40880.png,01/29/2026,2026-01-29,40880,B,handwriting_gan,pytorch_handwriting_gan,21.843111038208008,0.46858501925455054,6.485965609463902,0.7352187037467957,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\29_seed40881.png,01/29/2026,2026-01-29,40881,B,handwriting_gan,pytorch_handwriting_gan,21.6192684173584,0.5058237215022975,7.10761785322139,0.6567966341972351,lpips,normalized_cache\dated_signatures\signature_monday_1_12_26.png
stress_runs\20260120_084954\images\2026\01\30_seed40880.png,01/30/2026,2026-01-30,40880,B,handwriting_gan,pytorch_handwriting_gan,21.782163619995117,0.4686201154849687,6.485389679399576,0.7355120182037354,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\30_seed40881.png,01/30/2026,2026-01-30,40881,B,handwriting_gan,pytorch_handwriting_gan,21.561986923217773,0.5090412240985592,6.984670313017659,0.6864386796951294,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\30_seed40882.png,01/30/2026,2026-01-30,40882,B,handwriting_gan,pytorch_handwriting_gan,21.844919204711914,0.486615007920307,6.639342563924871,0.7264872789382935,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\31_seed40881.png,01/31/2026,2026-01-31,40881,B,handwriting_gan,pytorch_handwriting_gan,21.561986923217773,0.5090412240985592,6.984670313017659,0.6864386796951294,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\31_seed40882.png,01/31/2026,2026-01-31,40882,B,handwriting_gan,pytorch_handwriting_gan,21.844919204711914,0.486615007920307,6.639342563924871,0.7264872789382935,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\01\31_seed40883.png,01/31/2026,2026-01-31,40883,B,handwriting_gan,pytorch_handwriting_gan,21.562294006347656,0.5052475759228764,6.91693559422406,0.6833949089050293,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\01_seed40882.png,02/01/2026,2026-02-01,40882,B,handwriting_gan,pytorch_handwriting_gan,22.38439178466797,0.45455975510179253,6.230534026651774,0.7148259878158569,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\01_seed40883.png,02/01/2026,2026-02-01,40883,B,handwriting_gan,pytorch_handwriting_gan,22.01521110534668,0.48092162723909704,6.686894176952077,0.6740033626556396,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\01_seed40884.png,02/01/2026,2026-02-01,40884,B,handwriting_gan,pytorch_handwriting_gan,21.146852493286133,0.5125818779377417,7.05677639450319,0.6281348466873169,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\02_seed40883.png,02/02/2026,2026-02-02,40883,B,handwriting_gan,pytorch_handwriting_gan,22.01521110534668,0.48092162723909704,6.686894176952077,0.6740033626556396,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\02_seed40884.png,02/02/2026,2026-02-02,40884,B,handwriting_gan,pytorch_handwriting_gan,21.146852493286133,0.5125818779377417,7.05677639450319,0.6281348466873169,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\02_seed40885.png,02/02/2026,2026-02-02,40885,B,handwriting_gan,pytorch_handwriting_gan,22.7380313873291,0.43958258654048715,6.180822199323072,0.7076733112335205,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\03_seed40884.png,02/03/2026,2026-02-03,40884,B,handwriting_gan,pytorch_handwriting_gan,20.897869110107422,0.5207986418709049,7.159381768928704,0.6020721197128296,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\03_seed40885.png,02/03/2026,2026-02-03,40885,B,handwriting_gan,pytorch_handwriting_gan,22.7380313873291,0.43958258654048715,6.180822199323072,0.7076733112335205,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\03_seed40886.png,02/03/2026,2026-02-03,40886,B,handwriting_gan,pytorch_handwriting_gan,17.41939926147461,0.6948634042556403,8.888848157523196,0.42612209916114807,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\04_seed40885.png,02/04/2026,2026-02-04,40885,B,handwriting_gan,pytorch_handwriting_gan,22.7380313873291,0.43958258654048715,6.180822199323072,0.7076733112335205,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\04_seed40886.png,02/04/2026,2026-02-04,40886,B,handwriting_gan,pytorch_handwriting_gan,21.03988265991211,0.5227027726945546,6.916239392541307,0.6381527781486511,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\04_seed40887.png,02/04/2026,2026-02-04,40887,B,handwriting_gan,pytorch_handwriting_gan,21.453866958618164,0.5159415737564251,6.848899657099491,0.6446857452392578,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\05_seed40886.png,02/05/2026,2026-02-05,40886,B,handwriting_gan,pytorch_handwriting_gan,17.41939926147461,0.6948634042556403,8.888848157523196,0.42612209916114807,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\05_seed40887.png,02/05/2026,2026-02-05,40887,B,handwriting_gan,pytorch_handwriting_gan,21.453866958618164,0.5159415737564251,6.848899657099491,0.6446857452392578,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\05_seed40888.png,02/05/2026,2026-02-05,40888,B,handwriting_gan,pytorch_handwriting_gan,22.755748748779297,0.4267626778766351,5.947613313637401,0.7255489230155945,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084954\images\2026\02\06_seed40887.png,02/06/2026,2026-02-06,40887,B,handwriting_gan,pytorch_handwriting_gan,21.453866958618164,0.5159415737564251,6.848899657099491,0.6446857452392578,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
