output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,style_distance,ssim,psnr,perceptual_distance,perceptual_backend,nearest_reference
stress_runs\20260119_162946\images\2025\01\01_seed40486.png,1.01. 25,2025-01-01,40486,A,datefont_renderer,unknown,13.685349464416504,0.7485211232439235,9.248456613474666,0.44661882519721985,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\01_seed40487.png,1.01. 25,2025-01-01,40487,A,datefont_renderer,unknown,13.685349464416504,0.7485211232439235,9.248456613474666,0.44661882519721985,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\01_seed40488.png,1.01. 25,2025-01-01,40488,A,datefont_renderer,unknown,13.685349464416504,0.7485211232439235,9.248456613474666,0.44661882519721985,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\02_seed40487.png,1.02. 25,2025-01-02,40487,A,datefont_renderer,unknown,15.92031478881836,0.6900801777430317,8.654036257972779,0.5261931419372559,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\02_seed40488.png,1.02. 25,2025-01-02,40488,A,datefont_renderer,unknown,15.92031478881836,0.6900801777430317,8.654036257972779,0.5261931419372559,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\02_seed40489.png,1.02. 25,2025-01-02,40489,A,datefont_renderer,unknown,15.92031478881836,0.6900801777430317,8.654036257972779,0.5261931419372559,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\03_seed40488.png,1.03. 25,2025-01-03,40488,A,datefont_renderer,unknown,13.685349464416504,0.7485211232439235,9.248456613474666,0.44661882519721985,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\03_seed40489.png,1.03. 25,2025-01-03,40489,A,datefont_renderer,unknown,13.685349464416504,0.7485211232439235,9.248456613474666,0.44661882519721985,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\03_seed40490.png,1.03. 25,2025-01-03,40490,A,datefont_renderer,unknown,13.685349464416504,0.7485211232439235,9.248456613474666,0.44661882519721985,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\04_seed40489.png,1.04. 25,2025-01-04,40489,A,datefont_renderer,unknown,15.319945335388184,0.7368219189824587,9.528713466716832,0.4564364552497864,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\04_seed40490.png,1.04. 25,2025-01-04,40490,A,datefont_renderer,unknown,15.319945335388184,0.7368219189824587,9.528713466716832,0.4564364552497864,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\04_seed40491.png,1.04. 25,2025-01-04,40491,A,datefont_renderer,unknown,15.319945335388184,0.7368219189824587,9.528713466716832,0.4564364552497864,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\05_seed40490.png,1.05. 25,2025-01-05,40490,A,datefont_renderer,unknown,13.707695007324219,0.7499915433508892,9.257453306504498,0.4449921250343323,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\05_seed40491.png,1.05. 25,2025-01-05,40491,A,datefont_renderer,unknown,13.707695007324219,0.7499915433508892,9.257453306504498,0.4449921250343323,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\05_seed40492.png,1.05. 25,2025-01-05,40492,A,datefont_renderer,unknown,13.707695007324219,0.7499915433508892,9.257453306504498,0.4449921250343323,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\06_seed40491.png,1.06. 25,2025-01-06,40491,A,datefont_renderer,unknown,16.0787353515625,0.6863299412875753,8.599844554894496,0.5381285548210144,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\06_seed40492.png,1.06. 25,2025-01-06,40492,A,datefont_renderer,unknown,16.0787353515625,0.6863299412875753,8.599844554894496,0.5381285548210144,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\06_seed40493.png,1.06. 25,2025-01-06,40493,A,datefont_renderer,unknown,16.0787353515625,0.6863299412875753,8.599844554894496,0.5381285548210144,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\07_seed40492.png,1.07. 25,2025-01-07,40492,A,datefont_renderer,unknown,13.685349464416504,0.7485211232439235,9.248456613474666,0.44661882519721985,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\07_seed40493.png,1.07. 25,2025-01-07,40493,A,datefont_renderer,unknown,13.685349464416504,0.7485211232439235,9.248456613474666,0.44661882519721985,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\07_seed40494.png,1.07. 25,2025-01-07,40494,A,datefont_renderer,unknown,13.685349464416504,0.7485211232439235,9.248456613474666,0.44661882519721985,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\08_seed40493.png,1.08. 25,2025-01-08,40493,A,datefont_renderer,unknown,15.421058654785156,0.7264109374062665,9.38106297350193,0.47294509410858154,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\08_seed40494.png,1.08. 25,2025-01-08,40494,A,datefont_renderer,unknown,15.421058654785156,0.7264109374062665,9.38106297350193,0.47294509410858154,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\08_seed40495.png,1.08. 25,2025-01-08,40495,A,datefont_renderer,unknown,15.421058654785156,0.7264109374062665,9.38106297350193,0.47294509410858154,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\09_seed40494.png,1.09. 25,2025-01-09,40494,A,datefont_renderer,unknown,15.289624214172363,0.7410341207389601,9.535437670545962,0.42553895711898804,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\09_seed40495.png,1.09. 25,2025-01-09,40495,A,datefont_renderer,unknown,15.289624214172363,0.7410341207389601,9.535437670545962,0.42553895711898804,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\09_seed40496.png,1.09. 25,2025-01-09,40496,A,datefont_renderer,unknown,15.289624214172363,0.7410341207389601,9.535437670545962,0.42553895711898804,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\10_seed40495.png,1.10. 25,2025-01-10,40495,A,datefont_renderer,unknown,13.749244689941406,0.7485597283809532,9.24874165078073,0.44641974568367004,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\10_seed40496.png,1.10. 25,2025-01-10,40496,A,datefont_renderer,unknown,13.749244689941406,0.7485597283809532,9.24874165078073,0.44641974568367004,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\10_seed40497.png,1.10. 25,2025-01-10,40497,A,datefont_renderer,unknown,13.749244689941406,0.7485597283809532,9.24874165078073,0.44641974568367004,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\11_seed40496.png,1.11. 25,2025-01-11,40496,A,datefont_renderer,unknown,13.749244689941406,0.7485597283809532,9.24874165078073,0.44641974568367004,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\11_seed40497.png,1.11. 25,2025-01-11,40497,A,datefont_renderer,unknown,13.749244689941406,0.7485597283809532,9.24874165078073,0.44641974568367004,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\11_seed40498.png,1.11. 25,2025-01-11,40498,A,datefont_renderer,unknown,13.749244689941406,0.7485597283809532,9.24874165078073,0.44641974568367004,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\12_seed40497.png,1.12. 25,2025-01-12,40497,A,datefont_renderer,unknown,16.73848533630371,0.6609058409436317,8.409275033651687,0.5978439450263977,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\12_seed40498.png,1.12. 25,2025-01-12,40498,A,datefont_renderer,unknown,16.73848533630371,0.6609058409436317,8.409275033651687,0.5978439450263977,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\12_seed40499.png,1.12. 25,2025-01-12,40499,A,datefont_renderer,unknown,16.73848533630371,0.6609058409436317,8.409275033651687,0.5978439450263977,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\13_seed40498.png,1.13. 25,2025-01-13,40498,A,datefont_renderer,unknown,13.749244689941406,0.7485597283809532,9.24874165078073,0.44641974568367004,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\13_seed40499.png,1.13. 25,2025-01-13,40499,A,datefont_renderer,unknown,13.749244689941406,0.7485597283809532,9.24874165078073,0.44641974568367004,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\13_seed40500.png,1.13. 25,2025-01-13,40500,A,datefont_renderer,unknown,13.749244689941406,0.7485597283809532,9.24874165078073,0.44641974568367004,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\14_seed40499.png,1.14. 25,2025-01-14,40499,A,datefont_renderer,unknown,15.02481460571289,0.7375807755793007,9.485624140562699,0.442596971988678,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\14_seed40500.png,1.14. 25,2025-01-14,40500,A,datefont_renderer,unknown,15.02481460571289,0.7375807755793007,9.485624140562699,0.442596971988678,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\14_seed40501.png,1.14. 25,2025-01-14,40501,A,datefont_renderer,unknown,15.02481460571289,0.7375807755793007,9.485624140562699,0.442596971988678,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\15_seed40500.png,1.15. 25,2025-01-15,40500,A,datefont_renderer,unknown,13.749244689941406,0.7485597283809532,9.24874165078073,0.44641974568367004,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\15_seed40501.png,1.15. 25,2025-01-15,40501,A,datefont_renderer,unknown,13.749244689941406,0.7485597283809532,9.24874165078073,0.44641974568367004,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\15_seed40502.png,1.15. 25,2025-01-15,40502,A,datefont_renderer,unknown,13.749244689941406,0.7485597283809532,9.24874165078073,0.44641974568367004,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\16_seed40501.png,1.16. 25,2025-01-16,40501,A,datefont_renderer,unknown,16.292604446411133,0.6821352437585545,8.559554371098521,0.529051661491394,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\16_seed40502.png,1.16. 25,2025-01-16,40502,A,datefont_renderer,unknown,16.292604446411133,0.6821352437585545,8.559554371098521,0.529051661491394,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\16_seed40503.png,1.16. 25,2025-01-16,40503,A,datefont_renderer,unknown,16.292604446411133,0.6821352437585545,8.559554371098521,0.529051661491394,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\17_seed40502.png,1.17. 25,2025-01-17,40502,A,datefont_renderer,unknown,13.749244689941406,0.7485597283809532,9.24874165078073,0.44641974568367004,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\17_seed40503.png,1.17. 25,2025-01-17,40503,A,datefont_renderer,unknown,13.749244689941406,0.7485597283809532,9.24874165078073,0.44641974568367004,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\17_seed40504.png,1.17. 25,2025-01-17,40504,A,datefont_renderer,unknown,13.749244689941406,0.7485597283809532,9.24874165078073,0.44641974568367004,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\18_seed40503.png,1.18. 25,2025-01-18,40503,A,datefont_renderer,unknown,14.542320251464844,0.7414399091721882,9.362115350405011,0.44291096925735474,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\18_seed40504.png,1.18. 25,2025-01-18,40504,A,datefont_renderer,unknown,14.542320251464844,0.7414399091721882,9.362115350405011,0.44291096925735474,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\18_seed40505.png,1.18. 25,2025-01-18,40505,A,datefont_renderer,unknown,14.542320251464844,0.7414399091721882,9.362115350405011,0.44291096925735474,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\19_seed40504.png,1.19. 25,2025-01-19,40504,A,datefont_renderer,unknown,14.41783618927002,0.7431974027101265,9.364241702615066,0.41778817772865295,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\19_seed40505.png,1.19. 25,2025-01-19,40505,A,datefont_renderer,unknown,14.41783618927002,0.7431974027101265,9.364241702615066,0.41778817772865295,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\19_seed40506.png,1.19. 25,2025-01-19,40506,A,datefont_renderer,unknown,14.41783618927002,0.7431974027101265,9.364241702615066,0.41778817772865295,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\20_seed40505.png,1.20. 25,2025-01-20,40505,A,datefont_renderer,unknown,15.819890022277832,0.6891245316894347,8.650091145743378,0.5238580703735352,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\20_seed40506.png,1.20. 25,2025-01-20,40506,A,datefont_renderer,unknown,15.819890022277832,0.6891245316894347,8.650091145743378,0.5238580703735352,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\20_seed40507.png,1.20. 25,2025-01-20,40507,A,datefont_renderer,unknown,15.819890022277832,0.6891245316894347,8.650091145743378,0.5238580703735352,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\21_seed40506.png,1.21. 25,2025-01-21,40506,A,datefont_renderer,unknown,16.21967315673828,0.6668527543536218,8.439350402296567,0.5937853455543518,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\21_seed40507.png,1.21. 25,2025-01-21,40507,A,datefont_renderer,unknown,16.21967315673828,0.6668527543536218,8.439350402296567,0.5937853455543518,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\21_seed40508.png,1.21. 25,2025-01-21,40508,A,datefont_renderer,unknown,16.21967315673828,0.6668527543536218,8.439350402296567,0.5937853455543518,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\22_seed40507.png,1.22. 25,2025-01-22,40507,A,datefont_renderer,unknown,16.21967315673828,0.6668527543536218,8.439350402296567,0.5937853455543518,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\22_seed40508.png,1.22. 25,2025-01-22,40508,A,datefont_renderer,unknown,16.21967315673828,0.6668527543536218,8.439350402296567,0.5937853455543518,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\22_seed40509.png,1.22. 25,2025-01-22,40509,A,datefont_renderer,unknown,16.21967315673828,0.6668527543536218,8.439350402296567,0.5937853455543518,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\23_seed40508.png,1.23. 25,2025-01-23,40508,A,datefont_renderer,unknown,16.13367462158203,0.6712789408339703,8.472237446462449,0.5883569717407227,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\23_seed40509.png,1.23. 25,2025-01-23,40509,A,datefont_renderer,unknown,16.13367462158203,0.6712789408339703,8.472237446462449,0.5883569717407227,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\23_seed40510.png,1.23. 25,2025-01-23,40510,A,datefont_renderer,unknown,16.13367462158203,0.6712789408339703,8.472237446462449,0.5883569717407227,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_162946\images\2025\01\24_seed40509.png,1.24. 25,2025-01-24,40509,A,datefont_renderer,unknown,15.166982650756836,0.7318502412266998,9.47665572710541,0.45943182706832886,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
