output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,style_distance,ssim,psnr,perceptual_distance,perceptual_backend,nearest_reference
stress_runs\20260119_155318\images\2025\01\01_seed40486.png,1.01. 25,2025-01-01,40486,A,datefont_renderer,unknown,18.37336540222168,0.6109607847129912,9.951330920227502,0.5899553298950195,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\01_seed40487.png,1.01. 25,2025-01-01,40487,A,datefont_renderer,unknown,18.37336540222168,0.6109607847129912,9.951330920227502,0.5899553298950195,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\01_seed40488.png,1.01. 25,2025-01-01,40488,A,datefont_renderer,unknown,18.37336540222168,0.6109607847129912,9.951330920227502,0.5899553298950195,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\02_seed40487.png,1.02. 25,2025-01-02,40487,A,datefont_renderer,unknown,18.271961212158203,0.6065268129514654,9.871034758404377,0.592981219291687,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\02_seed40488.png,1.02. 25,2025-01-02,40488,A,datefont_renderer,unknown,18.271961212158203,0.6065268129514654,9.871034758404377,0.592981219291687,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\02_seed40489.png,1.02. 25,2025-01-02,40489,A,datefont_renderer,unknown,18.271961212158203,0.6065268129514654,9.871034758404377,0.592981219291687,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\03_seed40488.png,1.03. 25,2025-01-03,40488,A,datefont_renderer,unknown,18.19532012939453,0.6031127476751673,9.799744149629738,0.5987570285797119,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\03_seed40489.png,1.03. 25,2025-01-03,40489,A,datefont_renderer,unknown,18.19532012939453,0.6031127476751673,9.799744149629738,0.5987570285797119,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\03_seed40490.png,1.03. 25,2025-01-03,40490,A,datefont_renderer,unknown,18.19532012939453,0.6031127476751673,9.799744149629738,0.5987570285797119,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\04_seed40489.png,1.04. 25,2025-01-04,40489,A,datefont_renderer,unknown,18.09539222717285,0.6022447925680839,9.846940882303794,0.5715665817260742,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\04_seed40490.png,1.04. 25,2025-01-04,40490,A,datefont_renderer,unknown,18.09539222717285,0.6022447925680839,9.846940882303794,0.5715665817260742,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\04_seed40491.png,1.04. 25,2025-01-04,40491,A,datefont_renderer,unknown,18.09539222717285,0.6022447925680839,9.846940882303794,0.5715665817260742,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\05_seed40490.png,1.05. 25,2025-01-05,40490,A,datefont_renderer,unknown,18.331485748291016,0.5928305532828699,9.658353364334737,0.5980101227760315,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\05_seed40491.png,1.05. 25,2025-01-05,40491,A,datefont_renderer,unknown,18.331485748291016,0.5928305532828699,9.658353364334737,0.5980101227760315,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\05_seed40492.png,1.05. 25,2025-01-05,40492,A,datefont_renderer,unknown,18.331485748291016,0.5928305532828699,9.658353364334737,0.5980101227760315,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\06_seed40491.png,1.06. 25,2025-01-06,40491,A,datefont_renderer,unknown,18.35633087158203,0.6022370654743208,9.787185514769677,0.6056513786315918,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\06_seed40492.png,1.06. 25,2025-01-06,40492,A,datefont_renderer,unknown,18.35633087158203,0.6022370654743208,9.787185514769677,0.6056513786315918,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\06_seed40493.png,1.06. 25,2025-01-06,40493,A,datefont_renderer,unknown,18.35633087158203,0.6022370654743208,9.787185514769677,0.6056513786315918,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\07_seed40492.png,1.07. 25,2025-01-07,40492,A,datefont_renderer,unknown,18.411727905273438,0.6077635868495518,9.93960515083713,0.6021354794502258,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\07_seed40493.png,1.07. 25,2025-01-07,40493,A,datefont_renderer,unknown,18.411727905273438,0.6077635868495518,9.93960515083713,0.6021354794502258,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\07_seed40494.png,1.07. 25,2025-01-07,40494,A,datefont_renderer,unknown,18.411727905273438,0.6077635868495518,9.93960515083713,0.6021354794502258,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\08_seed40493.png,1.08. 25,2025-01-08,40493,A,datefont_renderer,unknown,18.47726058959961,0.5945256142074427,9.658026967246919,0.5897078514099121,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_155318\images\2025\01\08_seed40494.png,1.08. 25,2025-01-08,40494,A,datefont_renderer,unknown,18.47726058959961,0.5945256142074427,9.658026967246919,0.5897078514099121,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
