output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,laplacian_var,checkerboard_score,touches_border,artifact_ok
stress_runs\20260120_073850\images\2025\01\01_seed40486.png,%m/%d/%Y,2025-01-01,40486,A,handwriting_gan,pytorch_handwriting_gan,16862.73985133842,0.46647968888282776,False,True
stress_runs\20260120_073850\images\2025\01\01_seed40487.png,%m/%d/%Y,2025-01-01,40487,A,handwriting_gan,pytorch_handwriting_gan,16403.96679063361,0.4135635197162628,False,True
stress_runs\20260120_073850\images\2025\01\01_seed40488.png,%m/%d/%Y,2025-01-01,40488,A,handwriting_gan,pytorch_handwriting_gan,12895.664311719678,0.4410691261291504,False,True
stress_runs\20260120_073850\images\2025\01\02_seed40487.png,%m/%d/%Y,2025-01-02,40487,A,handwriting_gan,pytorch_handwriting_gan,16403.96679063361,0.4135635197162628,False,True
stress_runs\20260120_073850\images\2025\01\02_seed40488.png,%m/%d/%Y,2025-01-02,40488,A,handwriting_gan,pytorch_handwriting_gan,12895.664311719678,0.4410691261291504,False,True
stress_runs\20260120_073850\images\2025\01\02_seed40489.png,%m/%d/%Y,2025-01-02,40489,A,handwriting_gan,pytorch_handwriting_gan,18287.44120589007,0.4058728814125061,False,True
stress_runs\20260120_073850\images\2025\01\03_seed40488.png,%m/%d/%Y,2025-01-03,40488,A,handwriting_gan,pytorch_handwriting_gan,12895.664311719678,0.4410691261291504,False,True
stress_runs\20260120_073850\images\2025\01\03_seed40489.png,%m/%d/%Y,2025-01-03,40489,A,handwriting_gan,pytorch_handwriting_gan,18287.44120589007,0.4058728814125061,False,True
stress_runs\20260120_073850\images\2025\01\03_seed40490.png,%m/%d/%Y,2025-01-03,40490,A,handwriting_gan,pytorch_handwriting_gan,17217.011378537496,0.44839322566986084,False,True
stress_runs\20260120_073850\images\2025\01\04_seed40489.png,%m/%d/%Y,2025-01-04,40489,A,handwriting_gan,pytorch_handwriting_gan,18287.44120589007,0.4058728814125061,False,True
