date_iso,count,min_distance,mean_distance
2025-01-01,3,6.211606025695801,7.396313826243083
2025-01-02,3,8.131339073181152,8.77182420094808
2025-01-03,3,7.891336917877197,8.79619042078654
2025-01-04,3,6.204360008239746,7.54819377263387
2025-01-05,3,5.903016090393066,6.3907790184021
2025-01-06,3,7.064960956573486,7.951919396718343
2025-01-07,3,7.124273777008057,8.311221917470297
2025-01-08,3,7.124273777008057,8.381021976470947
2025-01-09,3,6.833802223205566,8.366700490315756
2025-01-10,3,6.833802223205566,7.227243900299072
2025-01-11,3,5.75106143951416,6.791230201721191
2025-01-12,3,7.498692512512207,7.7556258837382
2025-01-13,3,7.339114189147949,7.781757672627767
2025-01-14,3,7.339114189147949,8.32632319132487
2025-01-15,3,5.2979512214660645,7.771988709767659
2025-01-16,3,4.056878089904785,4.703486919403076
2025-01-17,3,4.056878089904785,6.386757532755534
2025-01-18,3,7.1351518630981445,7.572511990865071
2025-01-19,3,6.864047527313232,7.423842906951904
2025-01-20,3,6.8007707595825195,6.8812934557596845
2025-01-21,3,3.2404141426086426,5.58098840713501
2025-01-22,3,3.2404141426086426,4.395567099253337
2025-01-23,3,5.0011372566223145,6.740230242411296
2025-01-24,3,4.416796684265137,6.794477939605713
2025-01-25,3,7.262022018432617,7.504279772440593
2025-01-26,3,4.991227149963379,6.4675642649332685
2025-01-27,3,6.74055814743042,7.621032238006592
2025-01-28,3,5.629931926727295,6.75641393661499
2025-01-29,3,6.059215068817139,6.84781281153361
2025-01-30,3,5.3590288162231445,6.354658762613933
