output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint
stress_runs\20260120_073850\images\2025\01\05_seed40492.png,%m/%d/%Y,2025-01-05,40492,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\06_seed40491.png,%m/%d/%Y,2025-01-06,40491,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\06_seed40492.png,%m/%d/%Y,2025-01-06,40492,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\06_seed40493.png,%m/%d/%Y,2025-01-06,40493,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\07_seed40492.png,%m/%d/%Y,2025-01-07,40492,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\07_seed40493.png,%m/%d/%Y,2025-01-07,40493,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\07_seed40494.png,%m/%d/%Y,2025-01-07,40494,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\08_seed40493.png,%m/%d/%Y,2025-01-08,40493,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\08_seed40494.png,%m/%d/%Y,2025-01-08,40494,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\08_seed40495.png,%m/%d/%Y,2025-01-08,40495,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\09_seed40494.png,%m/%d/%Y,2025-01-09,40494,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\09_seed40495.png,%m/%d/%Y,2025-01-09,40495,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\09_seed40496.png,%m/%d/%Y,2025-01-09,40496,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\10_seed40495.png,%m/%d/%Y,2025-01-10,40495,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\10_seed40496.png,%m/%d/%Y,2025-01-10,40496,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\10_seed40497.png,%m/%d/%Y,2025-01-10,40497,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\11_seed40496.png,%m/%d/%Y,2025-01-11,40496,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\11_seed40497.png,%m/%d/%Y,2025-01-11,40497,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\11_seed40498.png,%m/%d/%Y,2025-01-11,40498,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\12_seed40497.png,%m/%d/%Y,2025-01-12,40497,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\12_seed40498.png,%m/%d/%Y,2025-01-12,40498,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\12_seed40499.png,%m/%d/%Y,2025-01-12,40499,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\13_seed40498.png,%m/%d/%Y,2025-01-13,40498,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\13_seed40499.png,%m/%d/%Y,2025-01-13,40499,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\13_seed40500.png,%m/%d/%Y,2025-01-13,40500,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\14_seed40499.png,%m/%d/%Y,2025-01-14,40499,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\14_seed40500.png,%m/%d/%Y,2025-01-14,40500,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\14_seed40501.png,%m/%d/%Y,2025-01-14,40501,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\15_seed40500.png,%m/%d/%Y,2025-01-15,40500,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\15_seed40501.png,%m/%d/%Y,2025-01-15,40501,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\15_seed40502.png,%m/%d/%Y,2025-01-15,40502,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\16_seed40501.png,%m/%d/%Y,2025-01-16,40501,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\16_seed40502.png,%m/%d/%Y,2025-01-16,40502,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\16_seed40503.png,%m/%d/%Y,2025-01-16,40503,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\17_seed40502.png,%m/%d/%Y,2025-01-17,40502,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\17_seed40503.png,%m/%d/%Y,2025-01-17,40503,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\17_seed40504.png,%m/%d/%Y,2025-01-17,40504,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\18_seed40503.png,%m/%d/%Y,2025-01-18,40503,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\18_seed40504.png,%m/%d/%Y,2025-01-18,40504,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\18_seed40505.png,%m/%d/%Y,2025-01-18,40505,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\19_seed40504.png,%m/%d/%Y,2025-01-19,40504,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\19_seed40505.png,%m/%d/%Y,2025-01-19,40505,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\19_seed40506.png,%m/%d/%Y,2025-01-19,40506,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\20_seed40505.png,%m/%d/%Y,2025-01-20,40505,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\20_seed40506.png,%m/%d/%Y,2025-01-20,40506,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\20_seed40507.png,%m/%d/%Y,2025-01-20,40507,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\21_seed40506.png,%m/%d/%Y,2025-01-21,40506,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\21_seed40507.png,%m/%d/%Y,2025-01-21,40507,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\21_seed40508.png,%m/%d/%Y,2025-01-21,40508,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\22_seed40507.png,%m/%d/%Y,2025-01-22,40507,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\22_seed40508.png,%m/%d/%Y,2025-01-22,40508,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\22_seed40509.png,%m/%d/%Y,2025-01-22,40509,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\23_seed40508.png,%m/%d/%Y,2025-01-23,40508,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\23_seed40509.png,%m/%d/%Y,2025-01-23,40509,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\23_seed40510.png,%m/%d/%Y,2025-01-23,40510,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\24_seed40509.png,%m/%d/%Y,2025-01-24,40509,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\24_seed40510.png,%m/%d/%Y,2025-01-24,40510,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\24_seed40511.png,%m/%d/%Y,2025-01-24,40511,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\25_seed40510.png,%m/%d/%Y,2025-01-25,40510,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\25_seed40511.png,%m/%d/%Y,2025-01-25,40511,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\25_seed40512.png,%m/%d/%Y,2025-01-25,40512,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\26_seed40511.png,%m/%d/%Y,2025-01-26,40511,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\26_seed40512.png,%m/%d/%Y,2025-01-26,40512,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\26_seed40513.png,%m/%d/%Y,2025-01-26,40513,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\27_seed40512.png,%m/%d/%Y,2025-01-27,40512,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\27_seed40513.png,%m/%d/%Y,2025-01-27,40513,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\27_seed40514.png,%m/%d/%Y,2025-01-27,40514,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\28_seed40513.png,%m/%d/%Y,2025-01-28,40513,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\28_seed40514.png,%m/%d/%Y,2025-01-28,40514,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\28_seed40515.png,%m/%d/%Y,2025-01-28,40515,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\29_seed40514.png,%m/%d/%Y,2025-01-29,40514,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\29_seed40515.png,%m/%d/%Y,2025-01-29,40515,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\29_seed40516.png,%m/%d/%Y,2025-01-29,40516,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\30_seed40515.png,%m/%d/%Y,2025-01-30,40515,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\30_seed40516.png,%m/%d/%Y,2025-01-30,40516,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\30_seed40517.png,%m/%d/%Y,2025-01-30,40517,A,handwriting_gan,pytorch_handwriting_gan
