output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint
stress_runs\20260120_073850\images\2025\01\01_seed40486.png,%m/%d/%Y,2025-01-01,40486,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\01_seed40487.png,%m/%d/%Y,2025-01-01,40487,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\01_seed40488.png,%m/%d/%Y,2025-01-01,40488,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\02_seed40487.png,%m/%d/%Y,2025-01-02,40487,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\02_seed40488.png,%m/%d/%Y,2025-01-02,40488,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\02_seed40489.png,%m/%d/%Y,2025-01-02,40489,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\03_seed40488.png,%m/%d/%Y,2025-01-03,40488,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\03_seed40489.png,%m/%d/%Y,2025-01-03,40489,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\03_seed40490.png,%m/%d/%Y,2025-01-03,40490,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\04_seed40489.png,%m/%d/%Y,2025-01-04,40489,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\04_seed40490.png,%m/%d/%Y,2025-01-04,40490,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\04_seed40491.png,%m/%d/%Y,2025-01-04,40491,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\05_seed40490.png,%m/%d/%Y,2025-01-05,40490,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_073850\images\2025\01\05_seed40491.png,%m/%d/%Y,2025-01-05,40491,A,handwriting_gan,pytorch_handwriting_gan
