output_path,date_string,date_iso,seed,style_distance,ssim,psnr,perceptual_distance,perceptual_backend,ocr_raw,ocr_normalized,ocr_match,cer,max_z,layout_ok,laplacian_var,checkerboard_score,touches_border,artifact_ok
stress_runs\20260120_073850\images\2025\01\01_seed40486.png,%m/%d/%Y,2025-01-01,40486,20.673660278320312,0.5652571431103821,8.04852580413517,0.623661458492279,lpips,05,,False,1.0,28.0,True,16862.73985133842,0.46647968888282776,False,True
stress_runs\20260120_073850\images\2025\01\01_seed40487.png,%m/%d/%Y,2025-01-01,40487,17.727853775024414,0.6524720276355928,8.879527415769463,0.49070170521736145,lpips,26,,False,1.0,12.999999046325684,True,16403.96679063361,0.4135635197162628,False,True
stress_runs\20260120_073850\images\2025\01\01_seed40488.png,%m/%d/%Y,2025-01-01,40488,19.80182456970215,0.6149705703441678,8.344074468336625,0.5531487464904785,lpips,868,,False,1.0,28.0,True,12895.664311719678,0.4410691261291504,False,True
stress_runs\20260120_073850\images\2025\01\02_seed40487.png,%m/%d/%Y,2025-01-02,40487,17.727853775024414,0.6524720276355928,8.879527415769463,0.49070170521736145,lpips,26,,False,1.0,12.999999046325684,True,16403.96679063361,0.4135635197162628,False,True
stress_runs\20260120_073850\images\2025\01\02_seed40488.png,%m/%d/%Y,2025-01-02,40488,19.80182456970215,0.6149705703441678,8.344074468336625,0.5531487464904785,lpips,868,,False,1.0,28.0,True,12895.664311719678,0.4410691261291504,False,True
stress_runs\20260120_073850\images\2025\01\02_seed40489.png,%m/%d/%Y,2025-01-02,40489,17.677343368530273,0.6462168545309028,8.812164319122042,0.48339083790779114,lpips,26,,False,1.0,10.499999046325684,True,18287.44120589007,0.4058728814125061,False,True
stress_runs\20260120_073850\images\2025\01\03_seed40488.png,%m/%d/%Y,2025-01-03,40488,19.80182456970215,0.6149705703441678,8.344074468336625,0.5531487464904785,lpips,868,,False,1.0,28.0,True,12895.664311719678,0.4410691261291504,False,True
stress_runs\20260120_073850\images\2025\01\03_seed40489.png,%m/%d/%Y,2025-01-03,40489,17.677343368530273,0.6462168545309028,8.812164319122042,0.48339083790779114,lpips,26,,False,1.0,10.499999046325684,True,18287.44120589007,0.4058728814125061,False,True
stress_runs\20260120_073850\images\2025\01\03_seed40490.png,%m/%d/%Y,2025-01-03,40490,18.61980628967285,0.6271459760931547,8.591343947994202,0.5195991396903992,lpips,28,,False,1.0,15.499999046325684,True,17217.011378537496,0.44839322566986084,False,True
stress_runs\20260120_073850\images\2025\01\04_seed40489.png,%m/%d/%Y,2025-01-04,40489,17.677343368530273,0.6462168545309028,8.812164319122042,0.48339083790779114,lpips,26,,False,1.0,10.499999046325684,True,18287.44120589007,0.4058728814125061,False,True
stress_runs\20260120_073850\images\2025\01\04_seed40490.png,%m/%d/%Y,2025-01-04,40490,18.61980628967285,0.6271459760931547,8.591343947994202,0.5195991396903992,lpips,28,,False,1.0,15.499999046325684,True,17217.011378537496,0.44839322566986084,False,True
