output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,style_distance,ssim,psnr,perceptual_distance,perceptual_backend,nearest_reference
stress_runs\20260119_161617\images\2025\01\01_seed40486.png,1.01. 25,2025-01-01,40486,A,datefont_renderer,unknown,15.514245986938477,0.7393783902703815,9.809223936389229,0.3594280481338501,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_161617\images\2025\01\01_seed40487.png,1.01. 25,2025-01-01,40487,A,datefont_renderer,unknown,15.514245986938477,0.7393783902703815,9.809223936389229,0.3594280481338501,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_161617\images\2025\01\01_seed40488.png,1.01. 25,2025-01-01,40488,A,datefont_renderer,unknown,15.514245986938477,0.7393783902703815,9.809223936389229,0.3594280481338501,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_161617\images\2025\01\02_seed40487.png,1.02. 25,2025-01-02,40487,A,datefont_renderer,unknown,15.323019981384277,0.7307119512240872,9.719822486060941,0.3667852282524109,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_161617\images\2025\01\02_seed40488.png,1.02. 25,2025-01-02,40488,A,datefont_renderer,unknown,15.323019981384277,0.7307119512240872,9.719822486060941,0.3667852282524109,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_161617\images\2025\01\02_seed40489.png,1.02. 25,2025-01-02,40489,A,datefont_renderer,unknown,15.323019981384277,0.7307119512240872,9.719822486060941,0.3667852282524109,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_161617\images\2025\01\03_seed40488.png,1.03. 25,2025-01-03,40488,A,datefont_renderer,unknown,15.179000854492188,0.7387319425352594,9.98018506781137,0.369913786649704,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_161617\images\2025\01\03_seed40489.png,1.03. 25,2025-01-03,40489,A,datefont_renderer,unknown,15.179000854492188,0.7387319425352594,9.98018506781137,0.369913786649704,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_161617\images\2025\01\03_seed40490.png,1.03. 25,2025-01-03,40490,A,datefont_renderer,unknown,15.179000854492188,0.7387319425352594,9.98018506781137,0.369913786649704,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260119_161617\images\2025\01\04_seed40489.png,1.04. 25,2025-01-04,40489,A,datefont_renderer,unknown,15.135613441467285,0.7310636486102526,9.782962391221856,0.35280153155326843,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
