output_path,date_string,date_iso,seed,style_distance,ssim,psnr,perceptual_distance,perceptual_backend,ocr_raw,ocr_normalized,ocr_match,cer,max_z,layout_ok,laplacian_var,checkerboard_score,touches_border,artifact_ok
stress_runs\20260119_161617\images\2025\01\01_seed40486.png,1.01. 25,2025-01-01,40486,15.514245986938477,0.7393783902703815,9.809223936389229,0.3594280481338501,lpips,.7..7,,False,1.0,18.75,False,273.69853317414294,0.07742734253406525,False,True
stress_runs\20260119_161617\images\2025\01\01_seed40487.png,1.01. 25,2025-01-01,40487,15.514245986938477,0.7393783902703815,9.809223936389229,0.3594280481338501,lpips,.7..7,,False,1.0,18.75,False,273.69853317414294,0.07742734253406525,False,True
stress_runs\20260119_161617\images\2025\01\01_seed40488.png,1.01. 25,2025-01-01,40488,15.514245986938477,0.7393783902703815,9.809223936389229,0.3594280481338501,lpips,.7..7,,False,1.0,18.75,False,273.69853317414294,0.07742734253406525,False,True
stress_runs\20260119_161617\images\2025\01\02_seed40487.png,1.02. 25,2025-01-02,40487,15.323019981384277,0.7307119512240872,9.719822486060941,0.3667852282524109,lpips,.7.17,,False,1.0,11.71875,False,356.0417179929375,0.0871959999203682,False,True
stress_runs\20260119_161617\images\2025\01\02_seed40488.png,1.02. 25,2025-01-02,40488,15.323019981384277,0.7307119512240872,9.719822486060941,0.3667852282524109,lpips,.7.17,,False,1.0,11.71875,False,356.0417179929375,0.0871959999203682,False,True
stress_runs\20260119_161617\images\2025\01\02_seed40489.png,1.02. 25,2025-01-02,40489,15.323019981384277,0.7307119512240872,9.719822486060941,0.3667852282524109,lpips,.7.17,,False,1.0,11.71875,False,356.0417179929375,0.0871959999203682,False,True
stress_runs\20260119_161617\images\2025\01\03_seed40488.png,1.03. 25,2025-01-03,40488,15.179000854492188,0.7387319425352594,9.98018506781137,0.369913786649704,lpips,.7.17,,False,1.0,12.5,False,396.266397495056,0.0928443968296051,False,True
stress_runs\20260119_161617\images\2025\01\03_seed40489.png,1.03. 25,2025-01-03,40489,15.179000854492188,0.7387319425352594,9.98018506781137,0.369913786649704,lpips,.7.17,,False,1.0,12.5,False,396.266397495056,0.0928443968296051,False,True
stress_runs\20260119_161617\images\2025\01\03_seed40490.png,1.03. 25,2025-01-03,40490,15.179000854492188,0.7387319425352594,9.98018506781137,0.369913786649704,lpips,.7.17,,False,1.0,12.5,False,396.266397495056,0.0928443968296051,False,True
stress_runs\20260119_161617\images\2025\01\04_seed40489.png,1.04. 25,2025-01-04,40489,15.135613441467285,0.7310636486102526,9.782962391221856,0.35280153155326843,lpips,.7.71,,False,1.0,11.328125,False,459.11461820500557,0.09729146212339401,False,True
stress_runs\20260119_161617\images\2025\01\04_seed40490.png,1.04. 25,2025-01-04,40490,15.135613441467285,0.7310636486102526,9.782962391221856,0.35280153155326843,lpips,.7.71,,False,1.0,11.328125,False,459.11461820500557,0.09729146212339401,False,True
stress_runs\20260119_161617\images\2025\01\04_seed40491.png,1.04. 25,2025-01-04,40491,15.135613441467285,0.7310636486102526,9.782962391221856,0.35280153155326843,lpips,.7.71,,False,1.0,11.328125,False,459.11461820500557,0.09729146212339401,False,True
stress_runs\20260119_161617\images\2025\01\05_seed40490.png,1.05. 25,2025-01-05,40490,14.83631420135498,0.7429642384996985,10.064064529650063,0.34825894236564636,lpips,.7.6,,False,1.0,13.671875,False,362.18091330446015,0.08713699877262115,False,True
stress_runs\20260119_161617\images\2025\01\05_seed40491.png,1.05. 25,2025-01-05,40491,14.83631420135498,0.7429642384996985,10.064064529650063,0.34825894236564636,lpips,.7.6,,False,1.0,13.671875,False,362.18091330446015,0.08713699877262115,False,True
stress_runs\20260119_161617\images\2025\01\05_seed40492.png,1.05. 25,2025-01-05,40492,14.83631420135498,0.7429642384996985,10.064064529650063,0.34825894236564636,lpips,.7.6,,False,1.0,13.671875,False,362.18091330446015,0.08713699877262115,False,True
stress_runs\20260119_161617\images\2025\01\06_seed40491.png,1.06. 25,2025-01-06,40491,15.412460327148438,0.7374885555112524,9.74582832970749,0.3626617193222046,lpips,.7.77,,False,1.0,11.328125,False,326.0973978301656,0.08794359117746353,False,True
stress_runs\20260119_161617\images\2025\01\06_seed40492.png,1.06. 25,2025-01-06,40492,15.412460327148438,0.7374885555112524,9.74582832970749,0.3626617193222046,lpips,.7.77,,False,1.0,11.328125,False,326.0973978301656,0.08794359117746353,False,True
stress_runs\20260119_161617\images\2025\01\06_seed40493.png,1.06. 25,2025-01-06,40493,15.412460327148438,0.7374885555112524,9.74582832970749,0.3626617193222046,lpips,.7.77,,False,1.0,11.328125,False,326.0973978301656,0.08794359117746353,False,True
