output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,left_margin,right_margin,top_margin,bottom_margin,baseline_ratio,height_ratio,width_ratio,stroke_thickness,max_z,layout_ok
stress_runs\20260119_161617\images\2025\01\01_seed40486.png,1.01. 25,2025-01-01,40486,A,datefont_renderer,unknown,0.14453125,0.07421875,0.6640625,0.0,0.90625,0.3359375,0.78125,12.0,18.75,False
stress_runs\20260119_161617\images\2025\01\01_seed40487.png,1.01. 25,2025-01-01,40487,A,datefont_renderer,unknown,0.14453125,0.07421875,0.6640625,0.0,0.90625,0.3359375,0.78125,12.0,18.75,False
stress_runs\20260119_161617\images\2025\01\01_seed40488.png,1.01. 25,2025-01-01,40488,A,datefont_renderer,unknown,0.14453125,0.07421875,0.6640625,0.0,0.90625,0.3359375,0.78125,12.0,18.75,False
stress_runs\20260119_161617\images\2025\01\02_seed40487.png,1.02. 25,2025-01-02,40487,A,datefont_renderer,unknown,0.14453125,0.00390625,0.671875,0.0,0.8828125,0.328125,0.8515625,11.0,11.71875,False
stress_runs\20260119_161617\images\2025\01\02_seed40488.png,1.02. 25,2025-01-02,40488,A,datefont_renderer,unknown,0.14453125,0.00390625,0.671875,0.0,0.8828125,0.328125,0.8515625,11.0,11.71875,False
stress_runs\20260119_161617\images\2025\01\02_seed40489.png,1.02. 25,2025-01-02,40489,A,datefont_renderer,unknown,0.14453125,0.00390625,0.671875,0.0,0.8828125,0.328125,0.8515625,11.0,11.71875,False
stress_runs\20260119_161617\images\2025\01\03_seed40488.png,1.03. 25,2025-01-03,40488,A,datefont_renderer,unknown,0.14453125,0.01171875,0.6640625,0.0,0.8671875,0.3359375,0.84375,13.0,12.5,False
stress_runs\20260119_161617\images\2025\01\03_seed40489.png,1.03. 25,2025-01-03,40489,A,datefont_renderer,unknown,0.14453125,0.01171875,0.6640625,0.0,0.8671875,0.3359375,0.84375,13.0,12.5,False
stress_runs\20260119_161617\images\2025\01\03_seed40490.png,1.03. 25,2025-01-03,40490,A,datefont_renderer,unknown,0.14453125,0.01171875,0.6640625,0.0,0.8671875,0.3359375,0.84375,13.0,12.5,False
stress_runs\20260119_161617\images\2025\01\04_seed40489.png,1.04. 25,2025-01-04,40489,A,datefont_renderer,unknown,0.14453125,0.0,0.6640625,0.0,0.8671875,0.3359375,0.85546875,11.0,11.328125,False
stress_runs\20260119_161617\images\2025\01\04_seed40490.png,1.04. 25,2025-01-04,40490,A,datefont_renderer,unknown,0.14453125,0.0,0.6640625,0.0,0.8671875,0.3359375,0.85546875,11.0,11.328125,False
stress_runs\20260119_161617\images\2025\01\04_seed40491.png,1.04. 25,2025-01-04,40491,A,datefont_renderer,unknown,0.14453125,0.0,0.6640625,0.0,0.8671875,0.3359375,0.85546875,11.0,11.328125,False
stress_runs\20260119_161617\images\2025\01\05_seed40490.png,1.05. 25,2025-01-05,40490,A,datefont_renderer,unknown,0.14453125,0.0234375,0.6640625,0.0,0.78125,0.3359375,0.83203125,12.0,13.671875,False
stress_runs\20260119_161617\images\2025\01\05_seed40491.png,1.05. 25,2025-01-05,40491,A,datefont_renderer,unknown,0.14453125,0.0234375,0.6640625,0.0,0.78125,0.3359375,0.83203125,12.0,13.671875,False
stress_runs\20260119_161617\images\2025\01\05_seed40492.png,1.05. 25,2025-01-05,40492,A,datefont_renderer,unknown,0.14453125,0.0234375,0.6640625,0.0,0.78125,0.3359375,0.83203125,12.0,13.671875,False
stress_runs\20260119_161617\images\2025\01\06_seed40491.png,1.06. 25,2025-01-06,40491,A,datefont_renderer,unknown,0.14453125,0.0,0.671875,0.0,0.9140625,0.328125,0.85546875,12.0,11.328125,False
stress_runs\20260119_161617\images\2025\01\06_seed40492.png,1.06. 25,2025-01-06,40492,A,datefont_renderer,unknown,0.14453125,0.0,0.671875,0.0,0.9140625,0.328125,0.85546875,12.0,11.328125,False
stress_runs\20260119_161617\images\2025\01\06_seed40493.png,1.06. 25,2025-01-06,40493,A,datefont_renderer,unknown,0.14453125,0.0,0.671875,0.0,0.9140625,0.328125,0.85546875,12.0,11.328125,False
stress_runs\20260119_161617\images\2025\01\07_seed40492.png,1.07. 25,2025-01-07,40492,A,datefont_renderer,unknown,0.14453125,0.03515625,0.6875,0.0,0.765625,0.3125,0.8203125,11.0,14.84375,False
stress_runs\20260119_161617\images\2025\01\07_seed40493.png,1.07. 25,2025-01-07,40493,A,datefont_renderer,unknown,0.14453125,0.03515625,0.6875,0.0,0.765625,0.3125,0.8203125,11.0,14.84375,False
stress_runs\20260119_161617\images\2025\01\07_seed40494.png,1.07. 25,2025-01-07,40494,A,datefont_renderer,unknown,0.14453125,0.03515625,0.6875,0.0,0.765625,0.3125,0.8203125,11.0,14.84375,False
stress_runs\20260119_161617\images\2025\01\08_seed40493.png,1.08. 25,2025-01-08,40493,A,datefont_renderer,unknown,0.14453125,0.0,0.6328125,0.0,0.90625,0.3671875,0.85546875,12.0,11.328125,False
stress_runs\20260119_161617\images\2025\01\08_seed40494.png,1.08. 25,2025-01-08,40494,A,datefont_renderer,unknown,0.14453125,0.0,0.6328125,0.0,0.90625,0.3671875,0.85546875,12.0,11.328125,False
stress_runs\20260119_161617\images\2025\01\08_seed40495.png,1.08. 25,2025-01-08,40495,A,datefont_renderer,unknown,0.14453125,0.0,0.6328125,0.0,0.90625,0.3671875,0.85546875,12.0,11.328125,False
stress_runs\20260119_161617\images\2025\01\09_seed40494.png,1.09. 25,2025-01-09,40494,A,datefont_renderer,unknown,0.14453125,0.0,0.6640625,0.0,0.84375,0.3359375,0.85546875,13.0,11.328125,False
stress_runs\20260119_161617\images\2025\01\09_seed40495.png,1.09. 25,2025-01-09,40495,A,datefont_renderer,unknown,0.14453125,0.0,0.6640625,0.0,0.84375,0.3359375,0.85546875,13.0,11.328125,False
stress_runs\20260119_161617\images\2025\01\09_seed40496.png,1.09. 25,2025-01-09,40496,A,datefont_renderer,unknown,0.14453125,0.0,0.6640625,0.0,0.84375,0.3359375,0.85546875,13.0,11.328125,False
stress_runs\20260119_161617\images\2025\01\10_seed40495.png,1.10. 25,2025-01-10,40495,A,datefont_renderer,unknown,0.14453125,0.07421875,0.671875,0.0,0.859375,0.328125,0.78125,12.0,18.75,False
stress_runs\20260119_161617\images\2025\01\10_seed40496.png,1.10. 25,2025-01-10,40496,A,datefont_renderer,unknown,0.14453125,0.07421875,0.671875,0.0,0.859375,0.328125,0.78125,12.0,18.75,False
stress_runs\20260119_161617\images\2025\01\10_seed40497.png,1.10. 25,2025-01-10,40497,A,datefont_renderer,unknown,0.14453125,0.07421875,0.671875,0.0,0.859375,0.328125,0.78125,12.0,18.75,False
stress_runs\20260119_161617\images\2025\01\11_seed40496.png,1.11. 25,2025-01-11,40496,A,datefont_renderer,unknown,0.14453125,0.08984375,0.6640625,0.0,0.8515625,0.3359375,0.765625,12.0,20.3125,False
stress_runs\20260119_161617\images\2025\01\11_seed40497.png,1.11. 25,2025-01-11,40497,A,datefont_renderer,unknown,0.14453125,0.08984375,0.6640625,0.0,0.8515625,0.3359375,0.765625,12.0,20.3125,False
stress_runs\20260119_161617\images\2025\01\11_seed40498.png,1.11. 25,2025-01-11,40498,A,datefont_renderer,unknown,0.14453125,0.08984375,0.6640625,0.0,0.8515625,0.3359375,0.765625,12.0,20.3125,False
stress_runs\20260119_161617\images\2025\01\12_seed40497.png,1.12. 25,2025-01-12,40497,A,datefont_renderer,unknown,0.14453125,0.0234375,0.6640625,0.0,0.8828125,0.3359375,0.83203125,12.0,13.671875,False
stress_runs\20260119_161617\images\2025\01\12_seed40498.png,1.12. 25,2025-01-12,40498,A,datefont_renderer,unknown,0.14453125,0.0234375,0.6640625,0.0,0.8828125,0.3359375,0.83203125,12.0,13.671875,False
stress_runs\20260119_161617\images\2025\01\12_seed40499.png,1.12. 25,2025-01-12,40499,A,datefont_renderer,unknown,0.14453125,0.0234375,0.6640625,0.0,0.8828125,0.3359375,0.83203125,12.0,13.671875,False
stress_runs\20260119_161617\images\2025\01\13_seed40498.png,1.13. 25,2025-01-13,40498,A,datefont_renderer,unknown,0.14453125,0.03125,0.6640625,0.0,0.8515625,0.3359375,0.82421875,13.0,14.453125,False
stress_runs\20260119_161617\images\2025\01\13_seed40499.png,1.13. 25,2025-01-13,40499,A,datefont_renderer,unknown,0.14453125,0.03125,0.6640625,0.0,0.8515625,0.3359375,0.82421875,13.0,14.453125,False
stress_runs\20260119_161617\images\2025\01\13_seed40500.png,1.13. 25,2025-01-13,40500,A,datefont_renderer,unknown,0.14453125,0.03125,0.6640625,0.0,0.8515625,0.3359375,0.82421875,13.0,14.453125,False
stress_runs\20260119_161617\images\2025\01\14_seed40499.png,1.14. 25,2025-01-14,40499,A,datefont_renderer,unknown,0.14453125,0.0,0.6640625,0.0,0.8515625,0.3359375,0.85546875,12.0,11.328125,False
stress_runs\20260119_161617\images\2025\01\14_seed40500.png,1.14. 25,2025-01-14,40500,A,datefont_renderer,unknown,0.14453125,0.0,0.6640625,0.0,0.8515625,0.3359375,0.85546875,12.0,11.328125,False
