output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,laplacian_var,checkerboard_score,touches_border,artifact_ok
stress_runs\20260120_084036\images\2025\01\01_seed40486.png,01/01/2025,2025-01-01,40486,A,handwriting_gan,pytorch_handwriting_gan,5752.7121018317175,0.13402241468429565,False,True
stress_runs\20260120_084036\images\2025\01\01_seed40487.png,01/01/2025,2025-01-01,40487,A,handwriting_gan,pytorch_handwriting_gan,5384.827242728444,0.11982022225856781,False,True
stress_runs\20260120_084036\images\2025\01\01_seed40488.png,01/01/2025,2025-01-01,40488,A,handwriting_gan,pytorch_handwriting_gan,5631.157025473976,0.1172102838754654,False,True
stress_runs\20260120_084036\images\2025\01\02_seed40487.png,01/02/2025,2025-01-02,40487,A,handwriting_gan,pytorch_handwriting_gan,5541.22596896602,0.11826315522193909,False,True
stress_runs\20260120_084036\images\2025\01\02_seed40488.png,01/02/2025,2025-01-02,40488,A,handwriting_gan,pytorch_handwriting_gan,5806.350116241176,0.11786264926195145,False,True
stress_runs\20260120_084036\images\2025\01\02_seed40489.png,01/02/2025,2025-01-02,40489,A,handwriting_gan,pytorch_handwriting_gan,5728.296851851852,0.1219993531703949,False,True
stress_runs\20260120_084036\images\2025\01\03_seed40488.png,01/03/2025,2025-01-03,40488,A,handwriting_gan,pytorch_handwriting_gan,5650.526665863145,0.12102211266756058,False,True
stress_runs\20260120_084036\images\2025\01\03_seed40489.png,01/03/2025,2025-01-03,40489,A,handwriting_gan,pytorch_handwriting_gan,5596.182962962963,0.1231866180896759,False,True
stress_runs\20260120_084036\images\2025\01\03_seed40490.png,01/03/2025,2025-01-03,40490,A,handwriting_gan,pytorch_handwriting_gan,5686.4693303261465,0.11702804267406464,False,True
stress_runs\20260120_084036\images\2025\01\04_seed40489.png,01/04/2025,2025-01-04,40489,A,handwriting_gan,pytorch_handwriting_gan,5693.783333333334,0.11899653822183609,False,True
stress_runs\20260120_084036\images\2025\01\04_seed40490.png,01/04/2025,2025-01-04,40490,A,handwriting_gan,pytorch_handwriting_gan,5709.960942983409,0.11667352169752121,False,True
stress_runs\20260120_084036\images\2025\01\04_seed40491.png,01/04/2025,2025-01-04,40491,A,handwriting_gan,pytorch_handwriting_gan,6063.553664266832,0.12478089332580566,False,True
stress_runs\20260120_084036\images\2025\01\05_seed40490.png,01/05/2025,2025-01-05,40490,A,handwriting_gan,pytorch_handwriting_gan,5610.313020756952,0.11800072342157364,False,True
stress_runs\20260120_084036\images\2025\01\05_seed40491.png,01/05/2025,2025-01-05,40491,A,handwriting_gan,pytorch_handwriting_gan,6103.090118167541,0.12813466787338257,False,True
stress_runs\20260120_084036\images\2025\01\05_seed40492.png,01/05/2025,2025-01-05,40492,A,handwriting_gan,pytorch_handwriting_gan,5838.771620404911,0.11831627041101456,False,True
stress_runs\20260120_084036\images\2025\01\06_seed40491.png,01/06/2025,2025-01-06,40491,A,handwriting_gan,pytorch_handwriting_gan,6235.797446772743,0.1279490441083908,False,True
stress_runs\20260120_084036\images\2025\01\06_seed40492.png,01/06/2025,2025-01-06,40492,A,handwriting_gan,pytorch_handwriting_gan,6027.508502972661,0.12086257338523865,False,True
stress_runs\20260120_084036\images\2025\01\06_seed40493.png,01/06/2025,2025-01-06,40493,A,handwriting_gan,pytorch_handwriting_gan,6406.598847751858,0.13542115688323975,False,True
stress_runs\20260120_084036\images\2025\01\07_seed40492.png,01/07/2025,2025-01-07,40492,A,handwriting_gan,pytorch_handwriting_gan,5781.867718809677,0.11497925221920013,False,True
stress_runs\20260120_084036\images\2025\01\07_seed40493.png,01/07/2025,2025-01-07,40493,A,handwriting_gan,pytorch_handwriting_gan,6188.452699204408,0.1349727213382721,False,True
stress_runs\20260120_084036\images\2025\01\07_seed40494.png,01/07/2025,2025-01-07,40494,A,handwriting_gan,pytorch_handwriting_gan,5763.70570320014,0.12507213652133942,False,True
stress_runs\20260120_084036\images\2025\01\08_seed40493.png,01/08/2025,2025-01-08,40493,A,handwriting_gan,pytorch_handwriting_gan,6567.292762763443,0.13979408144950867,False,True
stress_runs\20260120_084036\images\2025\01\08_seed40494.png,01/08/2025,2025-01-08,40494,A,handwriting_gan,pytorch_handwriting_gan,6185.223573571113,0.13331814110279083,False,True
stress_runs\20260120_084036\images\2025\01\08_seed40495.png,01/08/2025,2025-01-08,40495,A,handwriting_gan,pytorch_handwriting_gan,5493.742549945567,0.12718182802200317,False,True
stress_runs\20260120_084036\images\2025\01\09_seed40494.png,01/09/2025,2025-01-09,40494,A,handwriting_gan,pytorch_handwriting_gan,6070.744226647638,0.12869633734226227,False,True
