output_path,date_string,date_iso,seed,style_distance,ssim,psnr,perceptual_distance,perceptual_backend,ocr_raw,ocr_normalized,ocr_match,cer,max_z,layout_ok,laplacian_var,checkerboard_score,touches_border,artifact_ok
stress_runs\20260120_083009\images\2025\01\01_seed40486.png,01/01/2025,2025-01-01,40486,22.01665687561035,0.4199706377745788,6.023126664030952,0.7602063417434692,lpips,61/01/7025,,False,1.0,10.9375,True,7699.796231354068,0.1566462367773056,False,True
stress_runs\20260120_083009\images\2025\01\01_seed40487.png,01/01/2025,2025-01-01,40487,21.936613082885742,0.450921149405952,6.33102648581409,0.7373242378234863,lpips,1/01/2025,01/01/2025,True,0.0,5.499999523162842,True,7076.5938142750565,0.13317888975143433,False,True
stress_runs\20260120_083009\images\2025\01\01_seed40488.png,01/01/2025,2025-01-01,40488,21.445968627929688,0.4757214879349124,6.244243960255817,0.738489031791687,lpips,1/01/7025,01/01/7025,False,0.1,16.40625,True,7060.065800035185,0.1529451608657837,False,True
stress_runs\20260120_083009\images\2025\01\02_seed40487.png,01/02/2025,2025-01-02,40487,21.936613082885742,0.450921149405952,6.33102648581409,0.7373242378234863,lpips,1/02/2025,01/02/2025,True,0.0,5.499999523162842,True,7292.4754797242895,0.1311756670475006,False,True
stress_runs\20260120_083009\images\2025\01\02_seed40488.png,01/02/2025,2025-01-02,40488,21.445968627929688,0.4757214879349124,6.244243960255817,0.738489031791687,lpips,1/07/27025,,False,1.0,16.40625,True,7226.641463797952,0.15063601732254028,False,True
stress_runs\20260120_083009\images\2025\01\02_seed40489.png,01/02/2025,2025-01-02,40489,22.484315872192383,0.4469065526497698,6.271629977301658,0.7399986982345581,lpips,01/02/2025,01/02/2025,True,0.0,5.499999523162842,True,7120.581887660889,0.1300598382949829,False,True
stress_runs\20260120_083009\images\2025\01\03_seed40488.png,01/03/2025,2025-01-03,40488,21.445968627929688,0.4757214879349124,6.244243960255817,0.738489031791687,lpips,1/03/7025,01/03/7025,False,0.1,16.40625,True,7237.725697248642,0.15062600374221802,False,True
stress_runs\20260120_083009\images\2025\01\03_seed40489.png,01/03/2025,2025-01-03,40489,22.484315872192383,0.4469065526497698,6.271629977301658,0.7399986982345581,lpips,01/03/2025,01/03/2025,True,0.0,5.499999523162842,True,7099.176713255715,0.1320238709449768,False,True
stress_runs\20260120_083009\images\2025\01\03_seed40490.png,01/03/2025,2025-01-03,40490,22.277118682861328,0.4507207300530794,6.324273765848817,0.7527590990066528,lpips,1/03/2025,01/03/2025,True,0.0,5.499999523162842,True,7156.483793239894,0.1329997032880783,False,True
stress_runs\20260120_083009\images\2025\01\04_seed40489.png,01/04/2025,2025-01-04,40489,22.484315872192383,0.4469065526497698,6.271629977301658,0.7399986982345581,lpips,01/04/2025,01/04/2025,True,0.0,5.499999523162842,True,7218.798334877337,0.13025350868701935,False,True
