output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,left_margin,right_margin,top_margin,bottom_margin,baseline_ratio,height_ratio,width_ratio,stroke_thickness,max_z,layout_ok
stress_runs\20260120_083009\images\2025\01\01_seed40486.png,01/01/2025,2025-01-01,40486,A,handwriting_gan,pytorch_handwriting_gan,0.0546875,0.0,0.015625,0.109375,0.7734375,0.875,0.9453125,17.0,10.9375,True
stress_runs\20260120_083009\images\2025\01\01_seed40487.png,01/01/2025,2025-01-01,40487,A,handwriting_gan,pytorch_handwriting_gan,0.05078125,0.0,0.1171875,0.0390625,0.8203125,0.84375,0.94921875,15.0,5.499999523162842,True
stress_runs\20260120_083009\images\2025\01\01_seed40488.png,01/01/2025,2025-01-01,40488,A,handwriting_gan,pytorch_handwriting_gan,0.0703125,0.0,0.0234375,0.1640625,0.21875,0.8125,0.9296875,18.0,16.40625,True
stress_runs\20260120_083009\images\2025\01\02_seed40487.png,01/02/2025,2025-01-02,40487,A,handwriting_gan,pytorch_handwriting_gan,0.05078125,0.0,0.1171875,0.0390625,0.8203125,0.84375,0.94921875,15.0,5.499999523162842,True
stress_runs\20260120_083009\images\2025\01\02_seed40488.png,01/02/2025,2025-01-02,40488,A,handwriting_gan,pytorch_handwriting_gan,0.0703125,0.0,0.0234375,0.1640625,0.21875,0.8125,0.9296875,18.0,16.40625,True
stress_runs\20260120_083009\images\2025\01\02_seed40489.png,01/02/2025,2025-01-02,40489,A,handwriting_gan,pytorch_handwriting_gan,0.05078125,0.0,0.140625,0.0234375,0.78125,0.8359375,0.94921875,15.0,5.499999523162842,True
stress_runs\20260120_083009\images\2025\01\03_seed40488.png,01/03/2025,2025-01-03,40488,A,handwriting_gan,pytorch_handwriting_gan,0.0703125,0.0,0.0234375,0.1640625,0.21875,0.8125,0.9296875,18.0,16.40625,True
stress_runs\20260120_083009\images\2025\01\03_seed40489.png,01/03/2025,2025-01-03,40489,A,handwriting_gan,pytorch_handwriting_gan,0.05078125,0.0,0.140625,0.0234375,0.78125,0.8359375,0.94921875,15.0,5.499999523162842,True
stress_runs\20260120_083009\images\2025\01\03_seed40490.png,01/03/2025,2025-01-03,40490,A,handwriting_gan,pytorch_handwriting_gan,0.05859375,0.0,0.109375,0.0234375,0.796875,0.8671875,0.94140625,15.0,5.499999523162842,True
stress_runs\20260120_083009\images\2025\01\04_seed40489.png,01/04/2025,2025-01-04,40489,A,handwriting_gan,pytorch_handwriting_gan,0.05078125,0.0,0.140625,0.0234375,0.78125,0.8359375,0.94921875,15.0,5.499999523162842,True
stress_runs\20260120_083009\images\2025\01\04_seed40490.png,01/04/2025,2025-01-04,40490,A,handwriting_gan,pytorch_handwriting_gan,0.05859375,0.0,0.109375,0.0234375,0.796875,0.8671875,0.94140625,15.0,5.499999523162842,True
stress_runs\20260120_083009\images\2025\01\04_seed40491.png,01/04/2025,2025-01-04,40491,A,handwriting_gan,pytorch_handwriting_gan,0.05078125,0.0,0.171875,0.015625,0.796875,0.8125,0.94921875,14.0,3.691805124282837,True
stress_runs\20260120_083009\images\2025\01\05_seed40490.png,01/05/2025,2025-01-05,40490,A,handwriting_gan,pytorch_handwriting_gan,0.05859375,0.0,0.109375,0.0234375,0.796875,0.8671875,0.94140625,15.0,5.499999523162842,True
stress_runs\20260120_083009\images\2025\01\05_seed40491.png,01/05/2025,2025-01-05,40491,A,handwriting_gan,pytorch_handwriting_gan,0.05078125,0.0,0.171875,0.015625,0.796875,0.8125,0.94921875,14.0,3.691805124282837,True
stress_runs\20260120_083009\images\2025\01\05_seed40492.png,01/05/2025,2025-01-05,40492,A,handwriting_gan,pytorch_handwriting_gan,0.05078125,0.0,0.6328125,0.0,0.75,0.3671875,0.94921875,15.0,5.499999523162842,True
stress_runs\20260120_083009\images\2025\01\06_seed40491.png,01/06/2025,2025-01-06,40491,A,handwriting_gan,pytorch_handwriting_gan,0.05078125,0.0,0.171875,0.015625,0.796875,0.8125,0.94921875,14.0,3.691805124282837,True
stress_runs\20260120_083009\images\2025\01\06_seed40492.png,01/06/2025,2025-01-06,40492,A,handwriting_gan,pytorch_handwriting_gan,0.05078125,0.0,0.6328125,0.0,0.75,0.3671875,0.94921875,15.0,5.499999523162842,True
stress_runs\20260120_083009\images\2025\01\06_seed40493.png,01/06/2025,2025-01-06,40493,A,handwriting_gan,pytorch_handwriting_gan,0.06640625,0.0,0.6015625,0.0,0.71875,0.3984375,0.93359375,19.0,15.499999046325684,True
stress_runs\20260120_083009\images\2025\01\07_seed40492.png,01/07/2025,2025-01-07,40492,A,handwriting_gan,pytorch_handwriting_gan,0.05078125,0.0,0.6328125,0.0,0.75,0.3671875,0.94921875,15.0,5.499999523162842,True
stress_runs\20260120_083009\images\2025\01\07_seed40493.png,01/07/2025,2025-01-07,40493,A,handwriting_gan,pytorch_handwriting_gan,0.06640625,0.0,0.609375,0.0,0.7265625,0.390625,0.93359375,19.0,15.499999046325684,True
