output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,style_distance,ssim,psnr,perceptual_distance,perceptual_backend,nearest_reference
stress_runs\20260120_084446\images\2025\01\01_seed40486.png,01/01/2025,2025-01-01,40486,A,handwriting_gan,pytorch_handwriting_gan,22.089187622070312,0.48763401133489137,6.471441241884569,0.6794803738594055,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084446\images\2025\01\01_seed40487.png,01/01/2025,2025-01-01,40487,A,handwriting_gan,pytorch_handwriting_gan,22.19613265991211,0.5161316745293995,6.8848131338207255,0.6660749912261963,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084446\images\2025\01\01_seed40488.png,01/01/2025,2025-01-01,40488,A,handwriting_gan,pytorch_handwriting_gan,22.222152709960938,0.48237526995831465,6.5151595430107925,0.7081475853919983,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084446\images\2025\01\02_seed40487.png,01/02/2025,2025-01-02,40487,A,handwriting_gan,pytorch_handwriting_gan,22.19613265991211,0.5161316745293995,6.8848131338207255,0.6660749912261963,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084446\images\2025\01\02_seed40488.png,01/02/2025,2025-01-02,40488,A,handwriting_gan,pytorch_handwriting_gan,22.222152709960938,0.48237526995831465,6.5151595430107925,0.7081475853919983,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084446\images\2025\01\02_seed40489.png,01/02/2025,2025-01-02,40489,A,handwriting_gan,pytorch_handwriting_gan,21.832788467407227,0.5053030323010256,6.7685347438968595,0.6664812564849854,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084446\images\2025\01\03_seed40488.png,01/03/2025,2025-01-03,40488,A,handwriting_gan,pytorch_handwriting_gan,22.222152709960938,0.48237526995831465,6.5151595430107925,0.7081475853919983,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084446\images\2025\01\03_seed40489.png,01/03/2025,2025-01-03,40489,A,handwriting_gan,pytorch_handwriting_gan,21.832788467407227,0.5053030323010256,6.7685347438968595,0.6664812564849854,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084446\images\2025\01\03_seed40490.png,01/03/2025,2025-01-03,40490,A,handwriting_gan,pytorch_handwriting_gan,22.205753326416016,0.5149399727434801,6.917844901031374,0.6802347898483276,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_084446\images\2025\01\04_seed40489.png,01/04/2025,2025-01-04,40489,A,handwriting_gan,pytorch_handwriting_gan,21.832788467407227,0.5053030323010256,6.7685347438968595,0.6664812564849854,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
