output_path,date_string,date_iso,seed,style_distance,ssim,psnr,perceptual_distance,perceptual_backend,ocr_raw,ocr_normalized,ocr_match,cer,max_z,layout_ok,laplacian_var,checkerboard_score,touches_border,artifact_ok
stress_runs\20260120_084446\images\2025\01\01_seed40486.png,01/01/2025,2025-01-01,40486,22.089187622070312,0.48763401133489137,6.471441241884569,0.6794803738594055,lpips,91/01/2025,,False,1.0,5.499999523162842,True,6472.249260382218,0.1100350022315979,False,True
stress_runs\20260120_084446\images\2025\01\01_seed40487.png,01/01/2025,2025-01-01,40487,22.19613265991211,0.5161316745293995,6.8848131338207255,0.6660749912261963,lpips,91/01/2025,,False,1.0,4.440144062042236,True,6058.652151760397,0.10761261731386185,False,True
stress_runs\20260120_084446\images\2025\01\01_seed40488.png,01/01/2025,2025-01-01,40488,22.222152709960938,0.48237526995831465,6.5151595430107925,0.7081475853919983,lpips,91/01/202,,False,1.0,6.25,True,4999.440063445036,0.10517792403697968,False,True
stress_runs\20260120_084446\images\2025\01\02_seed40487.png,01/02/2025,2025-01-02,40487,22.19613265991211,0.5161316745293995,6.8848131338207255,0.6660749912261963,lpips,91/02/2025,,False,1.0,4.440144062042236,True,6182.260337901702,0.10821741074323654,False,True
stress_runs\20260120_084446\images\2025\01\02_seed40488.png,01/02/2025,2025-01-02,40488,22.222152709960938,0.48237526995831465,6.5151595430107925,0.7081475853919983,lpips,91/02/202,,False,1.0,6.25,True,5166.4699761808415,0.10562558472156525,False,True
stress_runs\20260120_084446\images\2025\01\02_seed40489.png,01/02/2025,2025-01-02,40489,21.832788467407227,0.5053030323010256,6.7685347438968595,0.6664812564849854,lpips,91/02/2025,,False,1.0,4.356995105743408,True,6355.272928855278,0.10589488595724106,False,True
stress_runs\20260120_084446\images\2025\01\03_seed40488.png,01/03/2025,2025-01-03,40488,22.222152709960938,0.48237526995831465,6.5151595430107925,0.7081475853919983,lpips,91/03/202,,False,1.0,6.25,True,5094.828601900211,0.10759419202804565,False,True
stress_runs\20260120_084446\images\2025\01\03_seed40489.png,01/03/2025,2025-01-03,40489,21.832788467407227,0.5053030323010256,6.7685347438968595,0.6664812564849854,lpips,91/03/2025,,False,1.0,4.356995105743408,True,6261.044039227619,0.10724439471960068,False,True
stress_runs\20260120_084446\images\2025\01\03_seed40490.png,01/03/2025,2025-01-03,40490,22.205753326416016,0.5149399727434801,6.917844901031374,0.6802347898483276,lpips,91/03/2025,,False,1.0,4.440144062042236,True,5429.58404241032,0.10335895419120789,False,True
stress_runs\20260120_084446\images\2025\01\04_seed40489.png,01/04/2025,2025-01-04,40489,21.832788467407227,0.5053030323010256,6.7685347438968595,0.6664812564849854,lpips,91/04/2025,,False,1.0,4.356995105743408,True,6299.7591323127235,0.1070142388343811,False,True
stress_runs\20260120_084446\images\2025\01\04_seed40490.png,01/04/2025,2025-01-04,40490,22.205753326416016,0.5149399727434801,6.917844901031374,0.6802347898483276,lpips,91/04/2025,,False,1.0,4.440144062042236,True,5409.715496214667,0.10317813605070114,False,True
stress_runs\20260120_084446\images\2025\01\04_seed40491.png,01/04/2025,2025-01-04,40491,21.940494537353516,0.5134640318660644,6.918389435647722,0.6602392792701721,lpips,91/04/2025,,False,1.0,4.024400234222412,True,5400.407389322917,0.10802707821130753,False,True
stress_runs\20260120_084446\images\2025\01\05_seed40490.png,01/05/2025,2025-01-05,40490,22.205753326416016,0.5149399727434801,6.917844901031374,0.6802347898483276,lpips,91/05/2025,,False,1.0,4.440144062042236,True,5378.109178279883,0.10291014611721039,False,True
stress_runs\20260120_084446\images\2025\01\05_seed40491.png,01/05/2025,2025-01-05,40491,21.940494537353516,0.5134640318660644,6.918389435647722,0.6602392792701721,lpips,91/05/2025,,False,1.0,4.024400234222412,True,5373.875,0.10899771004915237,False,True
stress_runs\20260120_084446\images\2025\01\05_seed40492.png,01/05/2025,2025-01-05,40492,21.986427307128906,0.496309856895161,6.656605957995687,0.6883984208106995,lpips,91/05/2025,,False,1.0,5.46875,True,6065.6898306934945,0.10623446851968765,False,True
stress_runs\20260120_084446\images\2025\01\06_seed40491.png,01/06/2025,2025-01-06,40491,21.940494537353516,0.5134640318660644,6.918389435647722,0.6602392792701721,lpips,91/06/2025,,False,1.0,4.024400234222412,True,5534.84814453125,0.11060769855976105,False,True
stress_runs\20260120_084446\images\2025\01\06_seed40492.png,01/06/2025,2025-01-06,40492,21.929096221923828,0.49960922562000687,6.699894009551929,0.6919089555740356,lpips,91/06/2025,,False,1.0,4.772738933563232,True,6204.163166291322,0.10778895020484924,False,True
stress_runs\20260120_084446\images\2025\01\06_seed40493.png,01/06/2025,2025-01-06,40493,22.180835723876953,0.4697752816935647,6.345408530345479,0.7046056985855103,lpips,91/06/202,,False,1.0,7.03125,True,5249.3388650988745,0.11189288645982742,False,True
stress_runs\20260120_084446\images\2025\01\07_seed40492.png,01/07/2025,2025-01-07,40492,21.986427307128906,0.496309856895161,6.656605957995687,0.6883984208106995,lpips,91/07/2025,,False,1.0,5.46875,True,5955.1266513456685,0.10428152233362198,False,True
