output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,laplacian_var,checkerboard_score,touches_border,artifact_ok
stress_runs\20260119_164100\images\2025\01\01_seed40486.png,1.01. 25,2025-01-01,40486,A,datefont_renderer,unknown,533.2064015319314,0.0463738813996315,False,True
stress_runs\20260119_164100\images\2025\01\01_seed40487.png,1.01. 25,2025-01-01,40487,A,datefont_renderer,unknown,533.2064015319314,0.0463738813996315,False,True
stress_runs\20260119_164100\images\2025\01\01_seed40488.png,1.01. 25,2025-01-01,40488,A,datefont_renderer,unknown,533.2064015319314,0.0463738813996315,False,True
stress_runs\20260119_164100\images\2025\01\02_seed40487.png,1.02. 25,2025-01-02,40487,A,datefont_renderer,unknown,623.9815417553834,0.04797632619738579,False,True
stress_runs\20260119_164100\images\2025\01\02_seed40488.png,1.02. 25,2025-01-02,40488,A,datefont_renderer,unknown,623.9815417553834,0.04797632619738579,False,True
stress_runs\20260119_164100\images\2025\01\02_seed40489.png,1.02. 25,2025-01-02,40489,A,datefont_renderer,unknown,623.9815417553834,0.04797632619738579,False,True
stress_runs\20260119_164100\images\2025\01\03_seed40488.png,1.03. 25,2025-01-03,40488,A,datefont_renderer,unknown,658.4501671796083,0.05075640231370926,False,True
stress_runs\20260119_164100\images\2025\01\03_seed40489.png,1.03. 25,2025-01-03,40489,A,datefont_renderer,unknown,658.4501671796083,0.05075640231370926,False,True
stress_runs\20260119_164100\images\2025\01\03_seed40490.png,1.03. 25,2025-01-03,40490,A,datefont_renderer,unknown,658.4501671796083,0.05075640231370926,False,True
stress_runs\20260119_164100\images\2025\01\04_seed40489.png,1.04. 25,2025-01-04,40489,A,datefont_renderer,unknown,701.5990239324096,0.05329415202140808,False,True
stress_runs\20260119_164100\images\2025\01\04_seed40490.png,1.04. 25,2025-01-04,40490,A,datefont_renderer,unknown,701.5990239324096,0.05329415202140808,False,True
stress_runs\20260119_164100\images\2025\01\04_seed40491.png,1.04. 25,2025-01-04,40491,A,datefont_renderer,unknown,701.5990239324096,0.05329415202140808,False,True
stress_runs\20260119_164100\images\2025\01\05_seed40490.png,1.05. 25,2025-01-05,40490,A,datefont_renderer,unknown,570.9585247123408,0.04663967713713646,False,True
stress_runs\20260119_164100\images\2025\01\05_seed40491.png,1.05. 25,2025-01-05,40491,A,datefont_renderer,unknown,570.9585247123408,0.04663967713713646,False,True
stress_runs\20260119_164100\images\2025\01\05_seed40492.png,1.05. 25,2025-01-05,40492,A,datefont_renderer,unknown,570.9585247123408,0.04663967713713646,False,True
stress_runs\20260119_164100\images\2025\01\06_seed40491.png,1.06. 25,2025-01-06,40491,A,datefont_renderer,unknown,661.9702127310925,0.051111850887537,False,True
stress_runs\20260119_164100\images\2025\01\06_seed40492.png,1.06. 25,2025-01-06,40492,A,datefont_renderer,unknown,661.9702127310925,0.051111850887537,False,True
stress_runs\20260119_164100\images\2025\01\06_seed40493.png,1.06. 25,2025-01-06,40493,A,datefont_renderer,unknown,661.9702127310925,0.051111850887537,False,True
stress_runs\20260119_164100\images\2025\01\07_seed40492.png,1.07. 25,2025-01-07,40492,A,datefont_renderer,unknown,620.6268051445832,0.05059341713786125,False,True
stress_runs\20260119_164100\images\2025\01\07_seed40493.png,1.07. 25,2025-01-07,40493,A,datefont_renderer,unknown,620.6268051445832,0.05059341713786125,False,True
stress_runs\20260119_164100\images\2025\01\07_seed40494.png,1.07. 25,2025-01-07,40494,A,datefont_renderer,unknown,620.6268051445832,0.05059341713786125,False,True
stress_runs\20260119_164100\images\2025\01\08_seed40493.png,1.08. 25,2025-01-08,40493,A,datefont_renderer,unknown,636.2709517699336,0.04886268824338913,False,True
