output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,left_margin,right_margin,top_margin,bottom_margin,baseline_ratio,height_ratio,width_ratio,stroke_thickness,max_z,layout_ok
stress_runs\20260119_163341\images\2025\01\01_seed40486.png,1.01. 25,2025-01-01,40486,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\01_seed40487.png,1.01. 25,2025-01-01,40487,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\01_seed40488.png,1.01. 25,2025-01-01,40488,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\02_seed40487.png,1.02. 25,2025-01-02,40487,A,datefont_renderer,unknown,0.07421875,0.33203125,0.328125,0.0,0.5859375,0.671875,0.59375,27.0,37.5,True
stress_runs\20260119_163341\images\2025\01\02_seed40488.png,1.02. 25,2025-01-02,40488,A,datefont_renderer,unknown,0.07421875,0.33203125,0.328125,0.0,0.5859375,0.671875,0.59375,27.0,37.5,True
stress_runs\20260119_163341\images\2025\01\02_seed40489.png,1.02. 25,2025-01-02,40489,A,datefont_renderer,unknown,0.07421875,0.33203125,0.328125,0.0,0.5859375,0.671875,0.59375,27.0,37.5,True
stress_runs\20260119_163341\images\2025\01\03_seed40488.png,1.03. 25,2025-01-03,40488,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\03_seed40489.png,1.03. 25,2025-01-03,40489,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\03_seed40490.png,1.03. 25,2025-01-03,40490,A,datefont_renderer,unknown,0.10546875,0.33203125,0.671875,0.0,0.9296875,0.328125,0.5625,27.0,40.625,True
stress_runs\20260119_163341\images\2025\01\04_seed40489.png,1.04. 25,2025-01-04,40489,A,datefont_renderer,unknown,0.07421875,0.33203125,0.4921875,0.0,0.75,0.5078125,0.59375,27.0,37.5,True
stress_runs\20260119_163341\images\2025\01\04_seed40490.png,1.04. 25,2025-01-04,40490,A,datefont_renderer,unknown,0.07421875,0.33203125,0.4921875,0.0,0.75,0.5078125,0.59375,27.0,37.5,True
stress_runs\20260119_163341\images\2025\01\04_seed40491.png,1.04. 25,2025-01-04,40491,A,datefont_renderer,unknown,0.07421875,0.33203125,0.4921875,0.0,0.75,0.5078125,0.59375,27.0,37.5,True
stress_runs\20260119_163341\images\2025\01\05_seed40490.png,1.05. 25,2025-01-05,40490,A,datefont_renderer,unknown,0.109375,0.33203125,0.6796875,0.0,0.9375,0.3203125,0.55859375,27.0,41.015625,True
stress_runs\20260119_163341\images\2025\01\05_seed40491.png,1.05. 25,2025-01-05,40491,A,datefont_renderer,unknown,0.109375,0.33203125,0.6796875,0.0,0.9375,0.3203125,0.55859375,27.0,41.015625,True
stress_runs\20260119_163341\images\2025\01\05_seed40492.png,1.05. 25,2025-01-05,40492,A,datefont_renderer,unknown,0.109375,0.33203125,0.6796875,0.0,0.9375,0.3203125,0.55859375,27.0,41.015625,True
stress_runs\20260119_163341\images\2025\01\06_seed40491.png,1.06. 25,2025-01-06,40491,A,datefont_renderer,unknown,0.07421875,0.33203125,0.3125,0.0,0.5703125,0.6875,0.59375,27.0,37.5,True
stress_runs\20260119_163341\images\2025\01\06_seed40492.png,1.06. 25,2025-01-06,40492,A,datefont_renderer,unknown,0.07421875,0.33203125,0.3125,0.0,0.5703125,0.6875,0.59375,27.0,37.5,True
stress_runs\20260119_163341\images\2025\01\06_seed40493.png,1.06. 25,2025-01-06,40493,A,datefont_renderer,unknown,0.07421875,0.33203125,0.3125,0.0,0.5703125,0.6875,0.59375,27.0,37.5,True
