output_path,date_string,date_iso,seed,style_distance,ssim,psnr,perceptual_distance,perceptual_backend,ocr_raw,ocr_normalized,ocr_match,cer,max_z,layout_ok,laplacian_var,checkerboard_score,touches_border,artifact_ok
stress_runs\20260120_084730\images\2025\01\01_seed40486.png,01/01/2025,2025-01-01,40486,22.164560317993164,0.4596888310652041,6.399539664563586,0.7264953255653381,lpips,01/01/2025,01/01/2025,True,0.0,6.25,True,5752.7121018317175,0.13402241468429565,False,True
stress_runs\20260120_084730\images\2025\01\01_seed40487.png,01/01/2025,2025-01-01,40487,21.88945198059082,0.48927503737859845,6.772580149422495,0.6930487751960754,lpips,01/01/2025,01/01/2025,True,0.0,4.10754919052124,True,5384.827242728444,0.11982022225856781,False,True
stress_runs\20260120_084730\images\2025\01\01_seed40488.png,01/01/2025,2025-01-01,40488,21.77495765686035,0.4895353980687666,6.648561138155155,0.71636563539505,lpips,01/01/2025,01/01/2025,True,0.0,12.5,True,5631.157025473976,0.1172102838754654,False,True
stress_runs\20260120_084730\images\2025\01\02_seed40487.png,01/02/2025,2025-01-02,40487,21.88945198059082,0.48927503737859845,6.772580149422495,0.6930487751960754,lpips,01/02/2025,01/02/2025,True,0.0,4.10754919052124,True,5541.22596896602,0.11826315522193909,False,True
stress_runs\20260120_084730\images\2025\01\02_seed40488.png,01/02/2025,2025-01-02,40488,21.77495765686035,0.4895353980687666,6.648561138155155,0.71636563539505,lpips,01/02/2025,01/02/2025,True,0.0,12.5,True,5806.350116241176,0.11786264926195145,False,True
stress_runs\20260120_084730\images\2025\01\02_seed40489.png,01/02/2025,2025-01-02,40489,22.254188537597656,0.486073491279584,6.746327414861719,0.6811881065368652,lpips,01/02/2025,01/02/2025,True,0.0,4.024400234222412,True,5728.296851851852,0.1219993531703949,False,True
stress_runs\20260120_084730\images\2025\01\03_seed40488.png,01/03/2025,2025-01-03,40488,21.71208381652832,0.49225973449872845,6.696772974403293,0.7110817432403564,lpips,01/03/2025,01/03/2025,True,0.0,11.71875,True,5650.526665863145,0.12102211266756058,False,True
stress_runs\20260120_084730\images\2025\01\03_seed40489.png,01/03/2025,2025-01-03,40489,22.254188537597656,0.486073491279584,6.746327414861719,0.6811881065368652,lpips,01/03/2025,01/03/2025,True,0.0,4.024400234222412,True,5596.182962962963,0.1231866180896759,False,True
stress_runs\20260120_084730\images\2025\01\03_seed40490.png,01/03/2025,2025-01-03,40490,22.299755096435547,0.4780582860310107,6.613898531764725,0.7062807083129883,lpips,01/03/2025,01/03/2025,True,0.0,5.499999523162842,True,5686.4693303261465,0.11702804267406464,False,True
stress_runs\20260120_084730\images\2025\01\04_seed40489.png,01/04/2025,2025-01-04,40489,22.254188537597656,0.486073491279584,6.746327414861719,0.6811881065368652,lpips,01/04/2025,01/04/2025,True,0.0,4.024400234222412,True,5693.783333333334,0.11899653822183609,False,True
stress_runs\20260120_084730\images\2025\01\04_seed40490.png,01/04/2025,2025-01-04,40490,22.299755096435547,0.4780582860310107,6.613898531764725,0.7062807083129883,lpips,01/04/2025,01/04/2025,True,0.0,5.499999523162842,True,5709.960942983409,0.11667352169752121,False,True
stress_runs\20260120_084730\images\2025\01\04_seed40491.png,01/04/2025,2025-01-04,40491,21.724288940429688,0.49782865346691435,6.883195404573051,0.6614410877227783,lpips,01/04/2025,01/04/2025,True,0.0,3.691805124282837,True,6063.553664266832,0.12478089332580566,False,True
stress_runs\20260120_084730\images\2025\01\05_seed40490.png,01/05/2025,2025-01-05,40490,22.299755096435547,0.4780582860310107,6.613898531764725,0.7062807083129883,lpips,01/05/2025,01/05/2025,True,0.0,5.499999523162842,True,5610.313020756952,0.11800072342157364,False,True
stress_runs\20260120_084730\images\2025\01\05_seed40491.png,01/05/2025,2025-01-05,40491,21.724288940429688,0.49782865346691435,6.883195404573051,0.6614410877227783,lpips,01/05/2025,01/05/2025,True,0.0,3.691805124282837,True,6103.090118167541,0.12813466787338257,False,True
