output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,laplacian_var,checkerboard_score,touches_border,artifact_ok
stress_runs\20260120_082659\images\2025\01\01_seed40486.png,01/01/2025,2025-01-01,40486,A,handwriting_gan,pytorch_handwriting_gan,7699.796231354068,0.1566462367773056,False,True
stress_runs\20260120_082659\images\2025\01\01_seed40487.png,01/01/2025,2025-01-01,40487,A,handwriting_gan,pytorch_handwriting_gan,7076.5938142750565,0.13317888975143433,False,True
stress_runs\20260120_082659\images\2025\01\01_seed40488.png,01/01/2025,2025-01-01,40488,A,handwriting_gan,pytorch_handwriting_gan,7060.065800035185,0.1529451608657837,False,True
stress_runs\20260120_082659\images\2025\01\02_seed40487.png,01/02/2025,2025-01-02,40487,A,handwriting_gan,pytorch_handwriting_gan,7292.4754797242895,0.1311756670475006,False,True
stress_runs\20260120_082659\images\2025\01\02_seed40488.png,01/02/2025,2025-01-02,40488,A,handwriting_gan,pytorch_handwriting_gan,7226.641463797952,0.15063601732254028,False,True
stress_runs\20260120_082659\images\2025\01\02_seed40489.png,01/02/2025,2025-01-02,40489,A,handwriting_gan,pytorch_handwriting_gan,7120.581887660889,0.1300598382949829,False,True
stress_runs\20260120_082659\images\2025\01\03_seed40488.png,01/03/2025,2025-01-03,40488,A,handwriting_gan,pytorch_handwriting_gan,7237.725697248642,0.15062600374221802,False,True
stress_runs\20260120_082659\images\2025\01\03_seed40489.png,01/03/2025,2025-01-03,40489,A,handwriting_gan,pytorch_handwriting_gan,7099.176713255715,0.1320238709449768,False,True
stress_runs\20260120_082659\images\2025\01\03_seed40490.png,01/03/2025,2025-01-03,40490,A,handwriting_gan,pytorch_handwriting_gan,7156.483793239894,0.1329997032880783,False,True
stress_runs\20260120_082659\images\2025\01\04_seed40489.png,01/04/2025,2025-01-04,40489,A,handwriting_gan,pytorch_handwriting_gan,7218.798334877337,0.13025350868701935,False,True
stress_runs\20260120_082659\images\2025\01\04_seed40490.png,01/04/2025,2025-01-04,40490,A,handwriting_gan,pytorch_handwriting_gan,7183.301301013154,0.13584409654140472,False,True
stress_runs\20260120_082659\images\2025\01\04_seed40491.png,01/04/2025,2025-01-04,40491,A,handwriting_gan,pytorch_handwriting_gan,7787.027176774898,0.13713112473487854,False,True
stress_runs\20260120_082659\images\2025\01\05_seed40490.png,01/05/2025,2025-01-05,40490,A,handwriting_gan,pytorch_handwriting_gan,7154.9829561195875,0.13340847194194794,False,True
stress_runs\20260120_082659\images\2025\01\05_seed40491.png,01/05/2025,2025-01-05,40491,A,handwriting_gan,pytorch_handwriting_gan,7913.562211632514,0.1356644332408905,False,True
stress_runs\20260120_082659\images\2025\01\05_seed40492.png,01/05/2025,2025-01-05,40492,A,handwriting_gan,pytorch_handwriting_gan,7657.173061928333,0.13096892833709717,False,True
stress_runs\20260120_082659\images\2025\01\06_seed40491.png,01/06/2025,2025-01-06,40491,A,handwriting_gan,pytorch_handwriting_gan,7976.91870460191,0.13877369463443756,False,True
stress_runs\20260120_082659\images\2025\01\06_seed40492.png,01/06/2025,2025-01-06,40492,A,handwriting_gan,pytorch_handwriting_gan,7783.112190245839,0.13220982253551483,False,True
stress_runs\20260120_082659\images\2025\01\06_seed40493.png,01/06/2025,2025-01-06,40493,A,handwriting_gan,pytorch_handwriting_gan,7454.380065410926,0.15924328565597534,False,True
stress_runs\20260120_082659\images\2025\01\07_seed40492.png,01/07/2025,2025-01-07,40492,A,handwriting_gan,pytorch_handwriting_gan,7494.243916566756,0.13006152212619781,False,True
stress_runs\20260120_082659\images\2025\01\07_seed40493.png,01/07/2025,2025-01-07,40493,A,handwriting_gan,pytorch_handwriting_gan,7161.021494916096,0.15497402846813202,False,True
stress_runs\20260120_082659\images\2025\01\07_seed40494.png,01/07/2025,2025-01-07,40494,A,handwriting_gan,pytorch_handwriting_gan,6807.973235288991,0.15192177891731262,False,True
stress_runs\20260120_082659\images\2025\01\08_seed40493.png,01/08/2025,2025-01-08,40493,A,handwriting_gan,pytorch_handwriting_gan,7596.826760413595,0.1631046086549759,False,True
stress_runs\20260120_082659\images\2025\01\08_seed40494.png,01/08/2025,2025-01-08,40494,A,handwriting_gan,pytorch_handwriting_gan,7356.986031771455,0.16233019530773163,False,True
stress_runs\20260120_082659\images\2025\01\08_seed40495.png,01/08/2025,2025-01-08,40495,A,handwriting_gan,pytorch_handwriting_gan,7090.533712949493,0.136076882481575,False,True
stress_runs\20260120_082659\images\2025\01\09_seed40494.png,01/09/2025,2025-01-09,40494,A,handwriting_gan,pytorch_handwriting_gan,7149.609471724084,0.15579693019390106,False,True
stress_runs\20260120_082659\images\2025\01\09_seed40495.png,01/09/2025,2025-01-09,40495,A,handwriting_gan,pytorch_handwriting_gan,6923.7862022809295,0.1322764903306961,False,True
stress_runs\20260120_082659\images\2025\01\09_seed40496.png,01/09/2025,2025-01-09,40496,A,handwriting_gan,pytorch_handwriting_gan,8079.641809038257,0.13997168838977814,False,True
stress_runs\20260120_082659\images\2025\01\10_seed40495.png,01/10/2025,2025-01-10,40495,A,handwriting_gan,pytorch_handwriting_gan,6667.831958563527,0.13102257251739502,False,True
stress_runs\20260120_082659\images\2025\01\10_seed40496.png,01/10/2025,2025-01-10,40496,A,handwriting_gan,pytorch_handwriting_gan,7759.086253482701,0.1399327516555786,False,True
stress_runs\20260120_082659\images\2025\01\10_seed40497.png,01/10/2025,2025-01-10,40497,A,handwriting_gan,pytorch_handwriting_gan,6160.411976081666,0.13054968416690826,False,True
stress_runs\20260120_082659\images\2025\01\11_seed40496.png,01/11/2025,2025-01-11,40496,A,handwriting_gan,pytorch_handwriting_gan,7387.932920149368,0.13170748949050903,False,True
stress_runs\20260120_082659\images\2025\01\11_seed40497.png,01/11/2025,2025-01-11,40497,A,handwriting_gan,pytorch_handwriting_gan,5727.202673756085,0.12279222160577774,False,True
stress_runs\20260120_082659\images\2025\01\11_seed40498.png,01/11/2025,2025-01-11,40498,A,handwriting_gan,pytorch_handwriting_gan,7840.2123030605735,0.13870637118816376,False,True
stress_runs\20260120_082659\images\2025\01\12_seed40497.png,01/12/2025,2025-01-12,40497,A,handwriting_gan,pytorch_handwriting_gan,5933.317557477014,0.12224653363227844,False,True
stress_runs\20260120_082659\images\2025\01\12_seed40498.png,01/12/2025,2025-01-12,40498,A,handwriting_gan,pytorch_handwriting_gan,8107.820632028323,0.13753308355808258,False,True
stress_runs\20260120_082659\images\2025\01\12_seed40499.png,01/12/2025,2025-01-12,40499,A,handwriting_gan,pytorch_handwriting_gan,6429.451235094983,0.12006386369466782,False,True
stress_runs\20260120_082659\images\2025\01\13_seed40498.png,01/13/2025,2025-01-13,40498,A,handwriting_gan,pytorch_handwriting_gan,7888.022930810078,0.1396576464176178,False,True
stress_runs\20260120_082659\images\2025\01\13_seed40499.png,01/13/2025,2025-01-13,40499,A,handwriting_gan,pytorch_handwriting_gan,6309.088748266743,0.11904797703027725,False,True
stress_runs\20260120_082659\images\2025\01\13_seed40500.png,01/13/2025,2025-01-13,40500,A,handwriting_gan,pytorch_handwriting_gan,6336.319336267485,0.12024649232625961,False,True
stress_runs\20260120_082659\images\2025\01\14_seed40499.png,01/14/2025,2025-01-14,40499,A,handwriting_gan,pytorch_handwriting_gan,6296.988525810356,0.12335613369941711,False,True
stress_runs\20260120_082659\images\2025\01\14_seed40500.png,01/14/2025,2025-01-14,40500,A,handwriting_gan,pytorch_handwriting_gan,6397.151872152654,0.1224566325545311,False,True
stress_runs\20260120_082659\images\2025\01\14_seed40501.png,01/14/2025,2025-01-14,40501,A,handwriting_gan,pytorch_handwriting_gan,7620.3765895154565,0.13945698738098145,False,True
stress_runs\20260120_082659\images\2025\01\15_seed40500.png,01/15/2025,2025-01-15,40500,A,handwriting_gan,pytorch_handwriting_gan,6299.319814736385,0.11937890946865082,False,True
stress_runs\20260120_082659\images\2025\01\15_seed40501.png,01/15/2025,2025-01-15,40501,A,handwriting_gan,pytorch_handwriting_gan,7600.914403358447,0.13583633303642273,False,True
stress_runs\20260120_082659\images\2025\01\15_seed40502.png,01/15/2025,2025-01-15,40502,A,handwriting_gan,pytorch_handwriting_gan,6986.211023479033,0.13242346048355103,False,True
stress_runs\20260120_082659\images\2025\01\16_seed40501.png,01/16/2025,2025-01-16,40501,A,handwriting_gan,pytorch_handwriting_gan,7734.092135657678,0.14104913175106049,False,True
stress_runs\20260120_082659\images\2025\01\16_seed40502.png,01/16/2025,2025-01-16,40502,A,handwriting_gan,pytorch_handwriting_gan,7037.5930769491915,0.1371915638446808,False,True
