output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,laplacian_var,checkerboard_score,touches_border,artifact_ok
stress_runs\20260120_080751\images\2025\01\01_seed40486.png,01/01/2025,2025-01-01,40486,A,handwriting_gan,pytorch_handwriting_gan,12544.174061654949,0.48919999599456787,False,True
stress_runs\20260120_080751\images\2025\01\01_seed40487.png,01/01/2025,2025-01-01,40487,A,handwriting_gan,pytorch_handwriting_gan,14994.889539693477,0.41581398248672485,False,True
stress_runs\20260120_080751\images\2025\01\01_seed40488.png,01/01/2025,2025-01-01,40488,A,handwriting_gan,pytorch_handwriting_gan,11504.601585216744,0.43488872051239014,False,True
stress_runs\20260120_080751\images\2025\01\02_seed40487.png,01/02/2025,2025-01-02,40487,A,handwriting_gan,pytorch_handwriting_gan,15921.472345829452,0.42005226016044617,False,True
stress_runs\20260120_080751\images\2025\01\02_seed40488.png,01/02/2025,2025-01-02,40488,A,handwriting_gan,pytorch_handwriting_gan,11892.22431197105,0.41716283559799194,False,True
stress_runs\20260120_080751\images\2025\01\02_seed40489.png,01/02/2025,2025-01-02,40489,A,handwriting_gan,pytorch_handwriting_gan,18636.168236408164,0.40673595666885376,False,True
stress_runs\20260120_080751\images\2025\01\03_seed40488.png,01/03/2025,2025-01-03,40488,A,handwriting_gan,pytorch_handwriting_gan,12068.8541790071,0.41472941637039185,False,True
stress_runs\20260120_080751\images\2025\01\03_seed40489.png,01/03/2025,2025-01-03,40489,A,handwriting_gan,pytorch_handwriting_gan,18444.40286243991,0.4234115481376648,False,True
stress_runs\20260120_080751\images\2025\01\03_seed40490.png,01/03/2025,2025-01-03,40490,A,handwriting_gan,pytorch_handwriting_gan,15240.060144094572,0.42830634117126465,False,True
stress_runs\20260120_080751\images\2025\01\04_seed40489.png,01/04/2025,2025-01-04,40489,A,handwriting_gan,pytorch_handwriting_gan,18108.089164625853,0.3867596387863159,False,True
stress_runs\20260120_080751\images\2025\01\04_seed40490.png,01/04/2025,2025-01-04,40490,A,handwriting_gan,pytorch_handwriting_gan,15899.405592964591,0.3939465284347534,False,True
stress_runs\20260120_080751\images\2025\01\04_seed40491.png,01/04/2025,2025-01-04,40491,A,handwriting_gan,pytorch_handwriting_gan,18940.573481854113,0.3624934256076813,False,True
stress_runs\20260120_080751\images\2025\01\05_seed40490.png,01/05/2025,2025-01-05,40490,A,handwriting_gan,pytorch_handwriting_gan,15430.578042851488,0.3942345976829529,False,True
stress_runs\20260120_080751\images\2025\01\05_seed40491.png,01/05/2025,2025-01-05,40491,A,handwriting_gan,pytorch_handwriting_gan,19107.96263025512,0.37528741359710693,False,True
stress_runs\20260120_080751\images\2025\01\05_seed40492.png,01/05/2025,2025-01-05,40492,A,handwriting_gan,pytorch_handwriting_gan,16201.871456797784,0.4003280699253082,False,True
stress_runs\20260120_080751\images\2025\01\06_seed40491.png,01/06/2025,2025-01-06,40491,A,handwriting_gan,pytorch_handwriting_gan,19472.523176428316,0.3773559629917145,False,True
stress_runs\20260120_080751\images\2025\01\06_seed40492.png,01/06/2025,2025-01-06,40492,A,handwriting_gan,pytorch_handwriting_gan,16540.242346193907,0.42345836758613586,False,True
stress_runs\20260120_080751\images\2025\01\06_seed40493.png,01/06/2025,2025-01-06,40493,A,handwriting_gan,pytorch_handwriting_gan,12368.828976926578,0.4324563145637512,False,True
stress_runs\20260120_080751\images\2025\01\07_seed40492.png,01/07/2025,2025-01-07,40492,A,handwriting_gan,pytorch_handwriting_gan,15679.13080128532,0.39873093366622925,False,True
stress_runs\20260120_080751\images\2025\01\07_seed40493.png,01/07/2025,2025-01-07,40493,A,handwriting_gan,pytorch_handwriting_gan,11841.227807499738,0.4100695252418518,False,True
stress_runs\20260120_080751\images\2025\01\07_seed40494.png,01/07/2025,2025-01-07,40494,A,handwriting_gan,pytorch_handwriting_gan,12662.124784146214,0.39403802156448364,False,True
stress_runs\20260120_080751\images\2025\01\08_seed40493.png,01/08/2025,2025-01-08,40493,A,handwriting_gan,pytorch_handwriting_gan,12229.759717446868,0.4505328834056854,False,True
stress_runs\20260120_080751\images\2025\01\08_seed40494.png,01/08/2025,2025-01-08,40494,A,handwriting_gan,pytorch_handwriting_gan,12884.412180595918,0.42800939083099365,False,True
stress_runs\20260120_080751\images\2025\01\08_seed40495.png,01/08/2025,2025-01-08,40495,A,handwriting_gan,pytorch_handwriting_gan,19132.026826712303,0.39433905482292175,False,True
stress_runs\20260120_080751\images\2025\01\09_seed40494.png,01/09/2025,2025-01-09,40494,A,handwriting_gan,pytorch_handwriting_gan,12723.922189349112,0.42940959334373474,False,True
stress_runs\20260120_080751\images\2025\01\09_seed40495.png,01/09/2025,2025-01-09,40495,A,handwriting_gan,pytorch_handwriting_gan,19083.223334035312,0.389882355928421,False,True
stress_runs\20260120_080751\images\2025\01\09_seed40496.png,01/09/2025,2025-01-09,40496,A,handwriting_gan,pytorch_handwriting_gan,15635.782640952144,0.40135547518730164,False,True
stress_runs\20260120_080751\images\2025\01\10_seed40495.png,01/10/2025,2025-01-10,40495,A,handwriting_gan,pytorch_handwriting_gan,17347.503840245776,0.381960928440094,False,True
stress_runs\20260120_080751\images\2025\01\10_seed40496.png,01/10/2025,2025-01-10,40496,A,handwriting_gan,pytorch_handwriting_gan,14137.544692279293,0.42677822709083557,False,True
stress_runs\20260120_080751\images\2025\01\10_seed40497.png,01/10/2025,2025-01-10,40497,A,handwriting_gan,pytorch_handwriting_gan,16611.44375,0.35724973678588867,False,True
stress_runs\20260120_080751\images\2025\01\11_seed40496.png,01/11/2025,2025-01-11,40496,A,handwriting_gan,pytorch_handwriting_gan,13468.83834429432,0.42842185497283936,False,True
stress_runs\20260120_080751\images\2025\01\11_seed40497.png,01/11/2025,2025-01-11,40497,A,handwriting_gan,pytorch_handwriting_gan,15583.690972222223,0.3493947982788086,False,True
stress_runs\20260120_080751\images\2025\01\11_seed40498.png,01/11/2025,2025-01-11,40498,A,handwriting_gan,pytorch_handwriting_gan,13828.727980290658,0.41524097323417664,False,True
stress_runs\20260120_080751\images\2025\01\12_seed40497.png,01/12/2025,2025-01-12,40497,A,handwriting_gan,pytorch_handwriting_gan,17072.526388888888,0.3497025668621063,False,True
stress_runs\20260120_080751\images\2025\01\12_seed40498.png,01/12/2025,2025-01-12,40498,A,handwriting_gan,pytorch_handwriting_gan,14555.522358477509,0.4085993468761444,False,True
stress_runs\20260120_080751\images\2025\01\12_seed40499.png,01/12/2025,2025-01-12,40499,A,handwriting_gan,pytorch_handwriting_gan,21757.734234970827,0.3418220579624176,False,True
stress_runs\20260120_080751\images\2025\01\13_seed40498.png,01/13/2025,2025-01-13,40498,A,handwriting_gan,pytorch_handwriting_gan,14739.357873162631,0.4132649004459381,False,True
stress_runs\20260120_080751\images\2025\01\13_seed40499.png,01/13/2025,2025-01-13,40499,A,handwriting_gan,pytorch_handwriting_gan,21294.376346223467,0.3482966721057892,False,True
stress_runs\20260120_080751\images\2025\01\13_seed40500.png,01/13/2025,2025-01-13,40500,A,handwriting_gan,pytorch_handwriting_gan,16799.690922016238,0.40564820170402527,False,True
stress_runs\20260120_080751\images\2025\01\14_seed40499.png,01/14/2025,2025-01-14,40499,A,handwriting_gan,pytorch_handwriting_gan,20584.219176368875,0.3304205536842346,False,True
stress_runs\20260120_080751\images\2025\01\14_seed40500.png,01/14/2025,2025-01-14,40500,A,handwriting_gan,pytorch_handwriting_gan,16406.929608391267,0.38810157775878906,False,True
stress_runs\20260120_080751\images\2025\01\14_seed40501.png,01/14/2025,2025-01-14,40501,A,handwriting_gan,pytorch_handwriting_gan,13129.626161134676,0.4008350968360901,False,True
stress_runs\20260120_080751\images\2025\01\15_seed40500.png,01/15/2025,2025-01-15,40500,A,handwriting_gan,pytorch_handwriting_gan,16833.76925785186,0.3806411623954773,False,True
stress_runs\20260120_080751\images\2025\01\15_seed40501.png,01/15/2025,2025-01-15,40501,A,handwriting_gan,pytorch_handwriting_gan,13452.437230452315,0.3610284924507141,False,True
stress_runs\20260120_080751\images\2025\01\15_seed40502.png,01/15/2025,2025-01-15,40502,A,handwriting_gan,pytorch_handwriting_gan,12667.19863496034,0.418377161026001,False,True
stress_runs\20260120_080751\images\2025\01\16_seed40501.png,01/16/2025,2025-01-16,40501,A,handwriting_gan,pytorch_handwriting_gan,13741.004269856292,0.3748221695423126,False,True
stress_runs\20260120_080751\images\2025\01\16_seed40502.png,01/16/2025,2025-01-16,40502,A,handwriting_gan,pytorch_handwriting_gan,13157.846906736375,0.4446077346801758,False,True
stress_runs\20260120_080751\images\2025\01\16_seed40503.png,01/16/2025,2025-01-16,40503,A,handwriting_gan,pytorch_handwriting_gan,13269.024785764492,0.44077929854393005,False,True
stress_runs\20260120_080751\images\2025\01\17_seed40502.png,01/17/2025,2025-01-17,40502,A,handwriting_gan,pytorch_handwriting_gan,12436.223181590274,0.4232499897480011,False,True
stress_runs\20260120_080751\images\2025\01\17_seed40503.png,01/17/2025,2025-01-17,40503,A,handwriting_gan,pytorch_handwriting_gan,12545.803366057187,0.4166806638240814,False,True
stress_runs\20260120_080751\images\2025\01\17_seed40504.png,01/17/2025,2025-01-17,40504,A,handwriting_gan,pytorch_handwriting_gan,16635.331100871535,0.37694472074508667,False,True
stress_runs\20260120_080751\images\2025\01\18_seed40503.png,01/18/2025,2025-01-18,40503,A,handwriting_gan,pytorch_handwriting_gan,13351.064204549293,0.4414002001285553,False,True
stress_runs\20260120_080751\images\2025\01\18_seed40504.png,01/18/2025,2025-01-18,40504,A,handwriting_gan,pytorch_handwriting_gan,18135.775959291805,0.40210139751434326,False,True
stress_runs\20260120_080751\images\2025\01\18_seed40505.png,01/18/2025,2025-01-18,40505,A,handwriting_gan,pytorch_handwriting_gan,18896.007426106386,0.37261655926704407,False,True
stress_runs\20260120_080751\images\2025\01\19_seed40504.png,01/19/2025,2025-01-19,40504,A,handwriting_gan,pytorch_handwriting_gan,18070.173127697166,0.3936854898929596,False,True
stress_runs\20260120_080751\images\2025\01\19_seed40505.png,01/19/2025,2025-01-19,40505,A,handwriting_gan,pytorch_handwriting_gan,18782.00553968827,0.36855918169021606,False,True
stress_runs\20260120_080751\images\2025\01\19_seed40506.png,01/19/2025,2025-01-19,40506,A,handwriting_gan,pytorch_handwriting_gan,22760.306864780836,0.41096803545951843,False,True
stress_runs\20260120_080751\images\2025\01\20_seed40505.png,01/20/2025,2025-01-20,40505,A,handwriting_gan,pytorch_handwriting_gan,19439.949007547373,0.38205966353416443,False,True
stress_runs\20260120_080751\images\2025\01\20_seed40506.png,01/20/2025,2025-01-20,40506,A,handwriting_gan,pytorch_handwriting_gan,24856.077145517953,0.4415178894996643,False,True
stress_runs\20260120_080751\images\2025\01\20_seed40507.png,01/20/2025,2025-01-20,40507,A,handwriting_gan,pytorch_handwriting_gan,15539.889977025632,0.4526251554489136,False,True
stress_runs\20260120_080751\images\2025\01\21_seed40506.png,01/21/2025,2025-01-21,40506,A,handwriting_gan,pytorch_handwriting_gan,23296.470966429966,0.4196280539035797,False,True
stress_runs\20260120_080751\images\2025\01\21_seed40507.png,01/21/2025,2025-01-21,40507,A,handwriting_gan,pytorch_handwriting_gan,14968.323005199643,0.43751564621925354,False,True
stress_runs\20260120_080751\images\2025\01\21_seed40508.png,01/21/2025,2025-01-21,40508,A,handwriting_gan,pytorch_handwriting_gan,16953.115167256008,0.45885011553764343,False,True
stress_runs\20260120_080751\images\2025\01\22_seed40507.png,01/22/2025,2025-01-22,40507,A,handwriting_gan,pytorch_handwriting_gan,15756.952168298802,0.4418033957481384,False,True
