output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,style_distance,ssim,psnr,perceptual_distance,perceptual_backend,nearest_reference
stress_runs\20260120_080751\images\2025\01\01_seed40486.png,01/01/2025,2025-01-01,40486,A,handwriting_gan,pytorch_handwriting_gan,18.087923049926758,0.6981581815813219,9.602600260296459,0.4710230529308319,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_080751\images\2025\01\01_seed40487.png,01/01/2025,2025-01-01,40487,A,handwriting_gan,pytorch_handwriting_gan,18.179933547973633,0.6994018211882526,9.501283754027188,0.46475493907928467,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_080751\images\2025\01\01_seed40488.png,01/01/2025,2025-01-01,40488,A,handwriting_gan,pytorch_handwriting_gan,19.341039657592773,0.6497666481655638,8.949168488667857,0.5146520137786865,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_080751\images\2025\01\02_seed40487.png,01/02/2025,2025-01-02,40487,A,handwriting_gan,pytorch_handwriting_gan,15.640026092529297,0.7476534340024648,9.467507114510035,0.4628629684448242,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_080751\images\2025\01\02_seed40488.png,01/02/2025,2025-01-02,40488,A,handwriting_gan,pytorch_handwriting_gan,16.61880111694336,0.7539452311573082,9.934309453791379,0.4588533043861389,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_080751\images\2025\01\02_seed40489.png,01/02/2025,2025-01-02,40489,A,handwriting_gan,pytorch_handwriting_gan,23.04894256591797,0.3848717568237599,6.338833127561222,0.8123095035552979,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_080751\images\2025\01\03_seed40488.png,01/03/2025,2025-01-03,40488,A,handwriting_gan,pytorch_handwriting_gan,16.61880111694336,0.7539452311573082,9.934309453791379,0.4588533043861389,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_080751\images\2025\01\03_seed40489.png,01/03/2025,2025-01-03,40489,A,handwriting_gan,pytorch_handwriting_gan,23.04894256591797,0.3848717568237599,6.338833127561222,0.8123095035552979,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_080751\images\2025\01\03_seed40490.png,01/03/2025,2025-01-03,40490,A,handwriting_gan,pytorch_handwriting_gan,16.554855346679688,0.7218784332191054,9.32768283636107,0.44207829236984253,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_080751\images\2025\01\04_seed40489.png,01/04/2025,2025-01-04,40489,A,handwriting_gan,pytorch_handwriting_gan,23.04894256591797,0.3848717568237599,6.338833127561222,0.8123095035552979,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
