output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint
stress_runs\20260120_074203\images\2025\01\01_seed40486.png,01/01/2025,2025-01-01,40486,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\01_seed40487.png,01/01/2025,2025-01-01,40487,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\01_seed40488.png,01/01/2025,2025-01-01,40488,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\02_seed40487.png,01/02/2025,2025-01-02,40487,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\02_seed40488.png,01/02/2025,2025-01-02,40488,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\02_seed40489.png,01/02/2025,2025-01-02,40489,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\03_seed40488.png,01/03/2025,2025-01-03,40488,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\03_seed40489.png,01/03/2025,2025-01-03,40489,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\03_seed40490.png,01/03/2025,2025-01-03,40490,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\04_seed40489.png,01/04/2025,2025-01-04,40489,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\04_seed40490.png,01/04/2025,2025-01-04,40490,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\04_seed40491.png,01/04/2025,2025-01-04,40491,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\05_seed40490.png,01/05/2025,2025-01-05,40490,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\05_seed40491.png,01/05/2025,2025-01-05,40491,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\05_seed40492.png,01/05/2025,2025-01-05,40492,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\06_seed40491.png,01/06/2025,2025-01-06,40491,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\06_seed40492.png,01/06/2025,2025-01-06,40492,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\06_seed40493.png,01/06/2025,2025-01-06,40493,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\07_seed40492.png,01/07/2025,2025-01-07,40492,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\07_seed40493.png,01/07/2025,2025-01-07,40493,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\07_seed40494.png,01/07/2025,2025-01-07,40494,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\08_seed40493.png,01/08/2025,2025-01-08,40493,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\08_seed40494.png,01/08/2025,2025-01-08,40494,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\08_seed40495.png,01/08/2025,2025-01-08,40495,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\09_seed40494.png,01/09/2025,2025-01-09,40494,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\09_seed40495.png,01/09/2025,2025-01-09,40495,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\09_seed40496.png,01/09/2025,2025-01-09,40496,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\10_seed40495.png,01/10/2025,2025-01-10,40495,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\10_seed40496.png,01/10/2025,2025-01-10,40496,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\10_seed40497.png,01/10/2025,2025-01-10,40497,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\11_seed40496.png,01/11/2025,2025-01-11,40496,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\11_seed40497.png,01/11/2025,2025-01-11,40497,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\11_seed40498.png,01/11/2025,2025-01-11,40498,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\12_seed40497.png,01/12/2025,2025-01-12,40497,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\12_seed40498.png,01/12/2025,2025-01-12,40498,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\12_seed40499.png,01/12/2025,2025-01-12,40499,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\13_seed40498.png,01/13/2025,2025-01-13,40498,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\13_seed40499.png,01/13/2025,2025-01-13,40499,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\13_seed40500.png,01/13/2025,2025-01-13,40500,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\14_seed40499.png,01/14/2025,2025-01-14,40499,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\14_seed40500.png,01/14/2025,2025-01-14,40500,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\14_seed40501.png,01/14/2025,2025-01-14,40501,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\15_seed40500.png,01/15/2025,2025-01-15,40500,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\15_seed40501.png,01/15/2025,2025-01-15,40501,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\15_seed40502.png,01/15/2025,2025-01-15,40502,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\16_seed40501.png,01/16/2025,2025-01-16,40501,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\16_seed40502.png,01/16/2025,2025-01-16,40502,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\16_seed40503.png,01/16/2025,2025-01-16,40503,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\17_seed40502.png,01/17/2025,2025-01-17,40502,A,handwriting_gan,pytorch_handwriting_gan
stress_runs\20260120_074203\images\2025\01\17_seed40503.png,01/17/2025,2025-01-17,40503,A,handwriting_gan,pytorch_handwriting_gan
