output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,style_distance,ssim,psnr,perceptual_distance,perceptual_backend,nearest_reference
stress_runs\20260120_074203\images\2025\01\27_seed40514.png,01/27/2025,2025-01-27,40514,A,handwriting_gan,pytorch_handwriting_gan,20.627962112426758,0.5841034791753583,7.761534929562405,0.5857473611831665,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\28_seed40513.png,01/28/2025,2025-01-28,40513,A,handwriting_gan,pytorch_handwriting_gan,20.395841598510742,0.5738770160106031,8.012054244594047,0.5908952355384827,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\28_seed40514.png,01/28/2025,2025-01-28,40514,A,handwriting_gan,pytorch_handwriting_gan,20.627962112426758,0.5841034791753583,7.761534929562405,0.5857473611831665,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\28_seed40515.png,01/28/2025,2025-01-28,40515,A,handwriting_gan,pytorch_handwriting_gan,20.16290855407715,0.573995236523364,8.047377338337174,0.587904691696167,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\29_seed40514.png,01/29/2025,2025-01-29,40514,A,handwriting_gan,pytorch_handwriting_gan,20.627962112426758,0.5841034791753583,7.761534929562405,0.5857473611831665,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\29_seed40515.png,01/29/2025,2025-01-29,40515,A,handwriting_gan,pytorch_handwriting_gan,20.16290855407715,0.573995236523364,8.047377338337174,0.587904691696167,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\29_seed40516.png,01/29/2025,2025-01-29,40516,A,handwriting_gan,pytorch_handwriting_gan,21.108015060424805,0.5568120648022414,8.003781123998632,0.6244558095932007,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\30_seed40515.png,01/30/2025,2025-01-30,40515,A,handwriting_gan,pytorch_handwriting_gan,20.16290855407715,0.573995236523364,8.047377338337174,0.587904691696167,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\30_seed40516.png,01/30/2025,2025-01-30,40516,A,handwriting_gan,pytorch_handwriting_gan,21.108015060424805,0.5568120648022414,8.003781123998632,0.6244558095932007,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\30_seed40517.png,01/30/2025,2025-01-30,40517,A,handwriting_gan,pytorch_handwriting_gan,19.0653133392334,0.6071874603053949,8.523504457757019,0.5381904244422913,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
