output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,left_margin,right_margin,top_margin,bottom_margin,baseline_ratio,height_ratio,width_ratio,stroke_thickness,max_z,layout_ok
stress_runs\20260120_074203\images\2025\01\01_seed40486.png,01/01/2025,2025-01-01,40486,A,handwriting_gan,pytorch_handwriting_gan,0.1328125,0.0,0.34375,0.0,0.9375,0.65625,0.8671875,24.0,28.0,True
stress_runs\20260120_074203\images\2025\01\01_seed40487.png,01/01/2025,2025-01-01,40487,A,handwriting_gan,pytorch_handwriting_gan,0.09765625,0.0,0.5390625,0.0,0.8203125,0.4609375,0.90234375,18.0,12.999999046325684,True
stress_runs\20260120_074203\images\2025\01\01_seed40488.png,01/01/2025,2025-01-01,40488,A,handwriting_gan,pytorch_handwriting_gan,0.12890625,0.0,0.4375,0.0234375,0.90625,0.5390625,0.87109375,24.0,28.0,True
stress_runs\20260120_074203\images\2025\01\02_seed40487.png,01/02/2025,2025-01-02,40487,A,handwriting_gan,pytorch_handwriting_gan,0.09765625,0.0,0.5390625,0.0,0.8203125,0.4609375,0.90234375,18.0,12.999999046325684,True
stress_runs\20260120_074203\images\2025\01\02_seed40488.png,01/02/2025,2025-01-02,40488,A,handwriting_gan,pytorch_handwriting_gan,0.12890625,0.0,0.4375,0.0234375,0.90625,0.5390625,0.87109375,24.0,28.0,True
stress_runs\20260120_074203\images\2025\01\02_seed40489.png,01/02/2025,2025-01-02,40489,A,handwriting_gan,pytorch_handwriting_gan,0.08984375,0.0,0.5078125,0.0,0.796875,0.4921875,0.91015625,17.0,10.499999046325684,True
stress_runs\20260120_074203\images\2025\01\03_seed40488.png,01/03/2025,2025-01-03,40488,A,handwriting_gan,pytorch_handwriting_gan,0.12890625,0.0,0.4375,0.0234375,0.90625,0.5390625,0.87109375,24.0,28.0,True
stress_runs\20260120_074203\images\2025\01\03_seed40489.png,01/03/2025,2025-01-03,40489,A,handwriting_gan,pytorch_handwriting_gan,0.08984375,0.0,0.5078125,0.0,0.796875,0.4921875,0.91015625,17.0,10.499999046325684,True
stress_runs\20260120_074203\images\2025\01\03_seed40490.png,01/03/2025,2025-01-03,40490,A,handwriting_gan,pytorch_handwriting_gan,0.11328125,0.0,0.484375,0.0,0.78125,0.515625,0.88671875,19.0,15.499999046325684,True
stress_runs\20260120_074203\images\2025\01\04_seed40489.png,01/04/2025,2025-01-04,40489,A,handwriting_gan,pytorch_handwriting_gan,0.08984375,0.0,0.5078125,0.0,0.796875,0.4921875,0.91015625,17.0,10.499999046325684,True
stress_runs\20260120_074203\images\2025\01\04_seed40490.png,01/04/2025,2025-01-04,40490,A,handwriting_gan,pytorch_handwriting_gan,0.11328125,0.0,0.484375,0.0,0.78125,0.515625,0.88671875,19.0,15.499999046325684,True
stress_runs\20260120_074203\images\2025\01\04_seed40491.png,01/04/2025,2025-01-04,40491,A,handwriting_gan,pytorch_handwriting_gan,0.08984375,0.0,0.5546875,0.0,0.796875,0.4453125,0.91015625,15.0,5.859375,True
stress_runs\20260120_074203\images\2025\01\05_seed40490.png,01/05/2025,2025-01-05,40490,A,handwriting_gan,pytorch_handwriting_gan,0.11328125,0.0,0.484375,0.0,0.78125,0.515625,0.88671875,19.0,15.499999046325684,True
stress_runs\20260120_074203\images\2025\01\05_seed40491.png,01/05/2025,2025-01-05,40491,A,handwriting_gan,pytorch_handwriting_gan,0.08984375,0.0,0.5546875,0.0,0.796875,0.4453125,0.91015625,15.0,5.859375,True
stress_runs\20260120_074203\images\2025\01\05_seed40492.png,01/05/2025,2025-01-05,40492,A,handwriting_gan,pytorch_handwriting_gan,0.09375,0.0,0.453125,0.0,0.78125,0.546875,0.90625,17.0,10.499999046325684,True
